Date,Value
2016-07-22,11776051687.0
2016-07-21,11776051687.0
2016-07-20,11776051687.0
2016-07-19,11776051687.0
2016-07-17,11776051687.0
2016-07-16,11776051687.0
2016-07-15,11776051687.0
2016-07-14,11776051687.0
2016-07-13,11776051687.0
2016-07-12,11776051687.0
2016-07-11,11776051687.0
2016-07-10,11762974990.0
2016-07-09,11754446800.0
2016-07-08,11737841997.0
2016-07-07,11730883966.0
2016-07-06,11724167581.0
2016-07-05,11719836761.0
2016-07-04,11710719156.0
2016-07-03,11707554151.0
2016-07-02,11703547395.0
2016-07-01,11698250151.0
2016-06-30,11692458529.0
2016-06-29,11676388936.0
2016-06-28,11672844733.0
2016-06-27,11669197125.0
2016-06-26,11662833254.0
2016-06-25,11650878568.0
2016-06-24,11641214399.0
2016-06-23,11636901700.0
2016-06-22,11628468876.0
2016-06-21,11621602657.0
2016-06-20,11605372925.0
2016-06-19,11596760869.0
2016-06-18,11590312932.0
2016-06-17,11582948572.0
2016-06-16,11567098526.0
2016-06-15,11547009397.0
2016-06-14,11526711337.0
2016-06-13,11515458172.0
2016-06-12,11486260502.0
2016-06-11,11473779613.0
2016-06-10,11467257783.0
2016-06-09,11459757646.0
2016-06-08,11453447812.0
2016-06-07,11448019400.0
2016-06-06,11431520100.0
2016-06-05,11424390820.0
2016-06-04,11419222725.0
2016-06-03,11414628736.0
2016-06-02,11409960024.0
2016-06-01,11389876772.0
2016-05-31,11381178880.0
2016-05-30,11372406508.0
2016-05-29,11363003556.0
2016-05-28,11350694488.0
2016-05-27,11340956598.0
2016-05-26,11306314985.0
2016-05-25,11300923787.0
2016-05-24,11292468990.0
2016-05-23,11286025468.0
2016-05-22,11282005006.0
2016-05-21,11277342251.0
2016-05-20,11266667446.0
2016-05-19,11255175733.0
2016-05-18,11248042040.0
2016-05-17,11240288911.0
2016-05-16,11190146345.0
2016-05-15,11182440944.0
2016-05-14,11180171461.0
2016-05-13,11170919510.0
2016-05-12,11165692833.0
2016-05-11,11160715127.0
2016-05-10,11153217375.0
2016-05-09,11144552501.0
2016-05-08,11138586465.0
2016-05-07,11135622345.0
2016-05-06,11123846186.0
2016-05-05,11119291305.0
2016-05-04,11115287444.0
2016-05-03,11109588282.0
2016-05-02,11106893364.0
2016-05-01,11103612988.0
2016-04-30,11097873666.0
2016-04-29,11094068626.0
2016-04-28,11086669142.0
2016-04-27,11081155160.0
2016-04-26,11075167902.0
2016-04-25,11067212277.0
2016-04-24,11053987133.0
2016-04-23,11047742908.0
2016-04-22,11042989834.0
2016-04-21,11037142640.0
2016-04-20,11032715200.0
2016-04-19,11026922914.0
2016-04-18,11022570784.0
2016-04-17,11018097983.0
2016-04-16,11013758200.0
2016-04-15,11009837860.0
2016-04-14,11005315894.0
2016-04-13,11001506474.0
2016-04-12,10996062407.0
2016-04-11,10986481056.0
2016-04-10,10977340029.0
2016-04-09,10968801928.0
2016-04-08,10964745227.0
2016-04-07,10959956908.0
2016-04-06,10935668286.0
2016-04-05,10928365948.0
2016-04-04,10922302675.0
2016-04-03,10916142022.0
2016-04-02,10912114445.0
2016-04-01,10906037755.0
2016-03-31,10898134717.0
2016-03-30,10888669988.0
2016-03-29,10882277116.0
2016-03-28,10875733268.0
2016-03-27,10870202884.0
2016-03-26,10865522120.0
2016-03-25,10857028200.0
2016-03-24,10849677413.0
2016-03-23,10844477812.0
2016-03-22,10840700434.0
2016-03-21,10828898746.0
2016-03-20,10817253687.0
2016-03-19,10813631362.0
2016-03-18,10808160538.0
2016-03-17,10800698338.0
2016-03-16,10792560015.0
2016-03-15,10782891206.0
2016-03-14,10775649420.0
2016-03-13,10762749629.0
2016-03-12,10755590572.0
2016-03-11,10748717788.0
