Date,Value
2016-07-22,0.0
2016-07-21,0.0
2016-07-20,0.0
2016-07-19,0.0
2016-07-17,0.0
2016-07-16,0.0
2016-07-15,0.0
2016-07-14,0.0
2016-07-13,0.0
2016-07-12,0.0
2016-07-11,11162473.0
2016-07-10,7149812.0
2016-07-09,13998907.0
2016-07-08,3595733.0
2016-07-07,4330871.0
2016-07-06,2085347.0
2016-07-05,6922554.0
2016-07-04,1345538.0
2016-07-03,2247975.0
2016-07-02,2823378.0
2016-07-01,3469823.0
2016-06-30,13111522.0
2016-06-29,1061508.0
2016-06-28,1729223.0
2016-06-27,3585062.0
2016-06-26,10582944.0
2016-06-25,2032138.0
2016-06-24,1790778.0
2016-06-23,3538415.0
2016-06-22,2738160.0
2016-06-21,8908302.0
2016-06-20,6270101.0
2016-06-19,4074188.0
2016-06-18,3826988.0
2016-06-17,11606446.0
2016-06-16,10373424.0
2016-06-15,17209855.0
2016-06-14,7294654.0
2016-06-13,18898207.0
2016-06-12,6026992.0
2016-06-11,3684261.0
2016-06-10,4103307.0
2016-06-09,3881527.0
2016-06-08,1395153.0
2016-06-07,13512468.0
2016-06-06,3502724.0
2016-06-05,1797363.0
2016-06-04,2532422.0
2016-06-03,2443951.0
2016-06-02,13197785.0
2016-06-01,5060443.0
2016-05-31,4314089.0
2016-05-30,4062410.0
2016-05-29,7990108.0
2016-05-28,3023789.0
2016-05-27,26985719.0
2016-05-26,1817054.0
2016-05-25,2332230.0
2016-05-24,1349211.0
2016-05-23,1863073.0
2016-05-22,2960408.0
2016-05-21,6116988.0
2016-05-20,9188815.0
2016-05-19,3088817.0
2016-05-18,4090827.0
2016-05-17,48666966.0
2016-05-16,5322261.0
2016-05-15,904907.0
2016-05-14,6990461.0
2016-05-13,3176039.0
2016-05-12,2856403.0
2016-05-11,3177560.0
2016-05-10,5415336.0
2016-05-09,3834848.0
2016-05-08,1293584.0
2016-05-07,9305183.0
2016-05-06,1743879.0
2016-05-05,1898115.0
2016-05-04,1397223.0
2016-05-03,1124024.0
2016-05-02,564667.0
2016-05-01,949703.0
2016-04-30,2067144.0
2016-04-29,5416810.0
2016-04-28,2223911.0
2016-04-27,1821206.0
2016-04-26,3329093.0
2016-04-25,9605242.0
2016-04-24,2247042.0
2016-04-23,2285721.0
2016-04-22,3786984.0
2016-04-21,1574220.0
2016-04-20,3341334.0
2016-04-19,1812703.0
2016-04-18,2236791.0
2016-04-17,2980851.0
2016-04-16,1230042.0
2016-04-15,1684795.0
2016-04-14,1547041.0
2016-04-13,2957121.0
2016-04-12,5897739.0
2016-04-11,4169237.0
2016-04-10,4219500.0
2016-04-09,1858537.0
2016-04-08,2256682.0
2016-04-07,2542886.0
2016-04-06,2161677.0
2016-04-05,3606110.0
2016-04-04,2697960.0
2016-04-03,1898977.0
2016-04-02,4301483.0
2016-04-01,4762824.0
2016-03-31,5205466.0
2016-03-30,1826780.0
2016-03-29,2574474.0
2016-03-28,2167832.0
2016-03-27,1535384.0
2016-03-26,5252828.0
2016-03-25,2978088.0
2016-03-24,1087029.0
2016-03-23,1607492.0
2016-03-22,9417656.0
2016-03-21,8660648.0
2016-03-20,2517718.0
2016-03-19,3608052.0
2016-03-18,4072161.0
2016-03-17,3860511.0
2016-03-16,7830483.0
2016-03-15,3933204.0
2016-03-14,10437894.0
2016-03-13,5672032.0
2016-03-12,4620573.0
2016-03-11,2717059.0
2016-03-10,16397033.0
2016-03-09,6188275.0
2016-03-08,6640427.0
2016-03-07,10463599.0
2016-03-06,3897098.0
2016-03-05,26891128.0
2016-03-04,4687089.0
2016-03-03,10630981.0
2016-03-02,7548729.0
2016-03-01,32648445.0
2016-02-29,5789391.0
2016-02-28,7350174.0
2016-02-27,3156269.0
2016-02-26,2426597.0
2016-02-25,10205235.0
2016-02-24,3631851.0
2016-02-23,2630536.0
2016-02-22,2644214.0
2016-02-21,3261372.0
2016-02-20,4867312.0
2016-02-19,3953602.0
2016-02-18,1559006.0
2016-02-17,3042829.0
2016-02-16,5619197.0
2016-02-15,8827698.0
2016-02-14,2155892.0
2016-02-13,2999279.0
2016-02-12,4350442.0
2016-02-11,8763095.0
2016-02-10,4307476.0
2016-02-09,3543584.0
2016-02-08,3067603.0
2016-02-07,762444.0
2016-02-06,4381208.0
2016-02-05,2269912.0
2016-02-04,5344141.0
2016-02-03,1137568.0
2016-02-02,1737620.0
2016-02-01,6055137.0
2016-01-31,988550.0
2016-01-30,2083430.0
2016-01-29,4879906.0
2016-01-28,3432280.0
2016-01-27,6296405.0
2016-01-26,2715243.0
2016-01-25,7910990.0
2016-01-24,8055174.0
2016-01-23,47285851.0
2016-01-22,8882879.0
2016-01-21,2895216.0
2016-01-20,2133947.0
2016-01-19,4199196.0
2016-01-18,1843515.0
2016-01-17,970189.0
2016-01-16,7405128.0
2016-01-15,8647388.0
2016-01-14,865050.0
2016-01-13,7841141.0
2016-01-12,2870343.0
2016-01-11,1104203.0
2016-01-10,6524293.0
2016-01-09,1592705.0
2016-01-08,47974258.0
2016-01-07,3436992.0
2016-01-06,2128887.0
2016-01-05,1989964.0
2016-01-04,2006261.0
2016-01-03,990278.0
2016-01-02,1032999.0
2016-01-01,651307.0
2015-12-31,2112899.0
2015-12-30,769771.0
2015-12-29,1878308.0
2015-12-28,1311414.0
2015-12-27,2388123.0
2015-12-26,1976687.0
2015-12-25,1071025.0
2015-12-24,5762102.0
2015-12-23,1912271.0
2015-12-22,3933632.0
2015-12-21,1644217.0
2015-12-20,827015.0
2015-12-19,6013330.0
2015-12-18,1252154.0
2015-12-17,1937053.0
2015-12-16,2577919.0
2015-12-15,2945172.0
2015-12-14,18771924.0
2015-12-13,2127013.0
2015-12-12,4037203.0
2015-12-11,3893887.0
2015-12-10,3690541.0
2015-12-09,5050176.0
2015-12-08,1621958.0
2015-12-07,2313696.0
2015-12-06,2982498.0
2015-12-05,3026733.0
2015-12-04,2826685.0
2015-12-03,3524338.0
2015-12-02,1649277.0
2015-12-01,2077997.0
2015-11-30,1894502.0
2015-11-29,922173.0
2015-11-28,2310241.0
2015-11-27,2752244.0
2015-11-26,1738981.0
2015-11-25,1686108.0
2015-11-24,1052878.0
2015-11-23,3549947.0
2015-11-22,2285278.0
2015-11-21,1558404.0
2015-11-20,1537525.0
2015-11-19,2611178.0
2015-11-18,1732680.0
2015-11-17,2394641.0
2015-11-16,1425863.0
2015-11-15,1525127.0
2015-11-14,11511862.0
2015-11-13,1682922.0
2015-11-12,3430344.0
2015-11-11,3145227.0
2015-11-10,7508677.0
2015-11-09,3043634.0
2015-11-08,5592782.0
2015-11-07,22926715.0
2015-11-06,3431029.0
2015-11-05,6094283.0
2015-11-04,13748120.0
2015-11-03,9511537.0
2015-11-02,1141197.0
2015-11-01,19941247.0
2015-10-31,4655161.0
2015-10-30,3155522.0
2015-10-29,2381330.0
2015-10-28,1297809.0
2015-10-27,1750818.0
2015-10-26,1988435.0
2015-10-25,858901.0
2015-10-24,1082817.0
2015-10-23,1473318.0
2015-10-22,2515110.0
2015-10-21,1117742.0
2015-10-20,1490775.0
2015-10-19,2420724.0
2015-10-18,916681.0
2015-10-17,1155613.0
2015-10-16,1071582.0
2015-10-15,7796369.0
2015-10-14,2096672.0
2015-10-13,3133515.0
2015-10-12,6854913.0
2015-10-11,1284532.0
2015-10-10,1155933.0
2015-10-09,728609.0
2015-10-08,3066207.0
2015-10-07,4103512.0
2015-10-06,1524425.0
2015-10-05,1707009.0
2015-10-04,388449.0
2015-10-03,699453.0
2015-10-02,981315.0
2015-10-01,1023631.0
2015-09-30,915295.0
2015-09-29,733445.0
2015-09-28,1140290.0
2015-09-27,314624.0
2015-09-26,469652.0
2015-09-25,923245.0
2015-09-24,605167.0
2015-09-23,1291988.0
2015-09-22,8347169.0
2015-09-21,2732120.0
2015-09-20,1097114.0
2015-09-19,465346.0
2015-09-18,667699.0
2015-09-17,1380505.0
2015-09-16,1167746.0
2015-09-15,1075241.0
2015-09-14,538864.0
2015-09-13,341842.0
2015-09-12,321233.0
2015-09-11,659000.0
2015-09-10,16767124.0
2015-09-09,1606296.0
2015-09-08,1307564.0
2015-09-07,659500.0
2015-09-06,1263459.0
2015-09-05,894171.0
2015-09-04,2777641.0
2015-09-03,3829018.0
