Date,Value
2016-06-16,-119178.0
2016-06-15,-128340.0
2016-06-14,-131315.0
2016-06-13,-129434.0
2016-06-12,-140129.0
2016-06-11,-154169.0
2016-06-10,-155843.0
2016-06-09,-157127.0
2016-06-08,-158048.0
2016-06-07,-159201.0
2016-06-06,-156907.0
2016-06-05,-159421.0
2016-06-04,-162738.0
2016-06-03,-160073.0
2016-06-02,-170398.0
2016-06-01,-169645.0
2016-05-31,-171593.0
2016-05-30,-171339.0
2016-05-29,-176005.0
2016-05-28,-184751.0
2016-05-27,-191994.0
2016-05-26,-201617.0
2016-05-25,-203143.0
2016-05-24,-199418.0
2016-05-23,-201902.0
2016-05-22,-204134.0
2016-05-21,-200766.0
2016-05-20,-201001.0
2016-05-19,-197999.0
2016-05-18,-195714.0
2016-05-17,-195848.0
2016-05-16,-194355.0
2016-05-15,-195019.0
2016-05-14,-195245.0
2016-05-13,-195774.0
2016-05-12,-197581.0
2016-05-11,-197215.0
2016-05-10,-181197.0
2016-05-09,-178020.0
2016-05-08,-179830.0
2016-05-07,-179125.0
2016-05-06,-180638.0
2016-05-05,-183632.0
2016-05-04,-183923.0
2016-05-03,-183445.0
2016-05-02,-185665.0
2016-05-01,-182772.0
2016-04-30,-182204.0
2016-04-29,-180607.0
2016-04-28,-182607.0
2016-04-27,-180394.0
2016-04-26,-162590.0
2016-04-25,-177214.0
2016-04-24,-182476.0
2016-04-23,-183886.0
2016-04-22,-183002.0
2016-04-21,-183620.0
2016-04-20,-186786.0
2016-04-19,-191267.0
2016-04-18,-191968.0
2016-04-17,-193519.0
2016-04-16,-191568.0
2016-04-15,-191275.0
2016-04-14,-193924.0
2016-04-13,-180663.0
2016-04-12,-179819.0
2016-04-11,-182218.0
2016-04-10,-182642.0
2016-04-09,-184019.0
2016-04-08,-181563.0
2016-04-07,-181708.0
2016-04-06,-182194.0
2016-04-05,-181577.0
2016-04-04,-183265.0
2016-04-03,-183399.0
2016-04-02,-182863.0
2016-04-01,-183936.0
2016-03-31,-182023.0
2016-03-30,-184186.0
2016-03-29,-183693.0
2016-03-28,-179830.0
2016-03-27,-178777.0
2016-03-26,-183436.0
2016-03-25,-183141.0
2016-03-24,-182953.0
2016-03-23,-182370.0
2016-03-22,-183179.0
2016-03-21,-185253.0
2016-03-20,-185786.0
2016-03-19,-187642.0
2016-03-18,-185967.0
2016-03-17,-173612.0
2016-03-16,-175123.0
2016-03-15,-175676.0
2016-03-14,-175995.0
2016-03-13,-177058.0
2016-03-12,-177923.0
2016-03-11,-173158.0
2016-03-10,-175224.0
2016-03-09,-176120.0
2016-03-08,-176383.0
2016-03-07,-176835.0
2016-03-06,-178089.0
2016-03-05,-186642.0
2016-03-04,-180085.0
2016-03-03,-176576.0
2016-03-02,-173408.0
2016-03-01,-173066.0
2016-02-29,-171605.0
2016-02-28,-173435.0
2016-02-27,-173969.0
2016-02-26,-177136.0
2016-02-25,-178108.0
2016-02-24,-177157.0
2016-02-23,-179765.0
2016-02-22,-171114.0
2016-02-21,-172713.0
2016-02-20,-171128.0
2016-02-19,-179501.0
2016-02-18,-158468.0
2016-02-17,-158313.0
2016-02-16,-162986.0
2016-02-15,-164658.0
2016-02-14,-165297.0
2016-02-13,-170848.0
2016-02-12,-173978.0
2016-02-11,-176267.0
2016-02-10,-175013.0
2016-02-09,-178090.0
2016-02-08,-176578.0
2016-02-07,-177831.0
2016-02-06,-148310.0
2016-02-05,-143101.0
2016-02-04,-143668.0
2016-02-03,-149855.0
2016-02-02,-147389.0
2016-02-01,-148314.0
2016-01-31,-147078.0
2016-01-30,-146136.0
2016-01-29,-146390.0
2016-01-28,-143989.0
2016-01-27,-139782.0
2016-01-26,-140002.0
2016-01-25,-134781.0
2016-01-24,-129057.0
2016-01-23,-134426.0
2016-01-22,-135006.0
2016-01-21,-127494.0
2016-01-20,-127458.0
2016-01-19,-137707.0
2016-01-18,-135614.0
2016-01-17,-135407.0
2016-01-16,-140873.0
2016-01-15,-133061.0
2016-01-14,-120844.0
2016-01-13,-121597.0
2016-01-12,-107282.0
2016-01-11,-107170.0
2016-01-10,-107505.0
2016-01-09,-106496.0
2016-01-08,-107162.0
2016-01-07,-105434.0
2016-01-06,-111128.0
2016-01-05,-110911.0
2016-01-04,-110791.0
2016-01-03,-112103.0
2016-01-02,-110349.0
2016-01-01,-111073.0
2015-12-31,-111640.0
2015-12-30,-100767.0
2015-12-29,-99910.0
2015-12-28,-101694.0
2015-12-27,-103254.0
2015-12-26,-103300.0
2015-12-25,-94617.0
2015-12-24,-94665.0
2015-12-23,-97483.0
2015-12-22,-98566.0
2015-12-21,-97993.0
2015-12-20,-99108.0
2015-12-19,-93341.0
2015-12-18,-79359.0
2015-12-17,-80329.0
2015-12-16,-80147.0
2015-12-15,-79360.0
2015-12-14,-81771.0
2015-12-13,-83042.0
2015-12-12,-85445.0
2015-12-11,-82008.0
2015-12-10,-87823.0
2015-12-09,-88062.0
2015-12-08,-92336.0
2015-12-07,-92159.0
2015-12-06,-86051.0
2015-12-05,-88804.0
2015-12-04,-92974.0
2015-12-03,-92449.0
2015-12-02,-92852.0
2015-12-01,-93446.0
2015-11-30,-89961.0
2015-11-29,-92369.0
2015-11-28,-94789.0
2015-11-27,-93384.0
2015-11-26,-96441.0
2015-11-25,-103342.0
2015-11-24,-104617.0
2015-11-23,-93733.0
2015-11-22,-94474.0
2015-11-21,-93484.0
2015-11-20,-94862.0
2015-11-19,-92365.0
2015-11-18,-90778.0
2015-11-17,-90513.0
2015-11-16,-92409.0
2015-11-15,-94379.0
2015-11-14,-91608.0
2015-11-13,-91558.0
2015-11-12,-91667.0
2015-11-11,-98099.0
2015-11-10,-81208.0
2015-11-09,-75789.0
2015-11-08,-75307.0
2015-11-07,-74182.0
2015-11-06,-73791.0
2015-11-05,-71641.0
2015-11-04,-65398.0
2015-11-03,-70152.0
2015-11-02,-84223.0
2015-11-01,-92261.0
2015-10-31,-92380.0
2015-10-30,-87186.0
2015-10-29,-92405.0
2015-10-28,-93886.0
2015-10-27,-95292.0
2015-10-26,-98665.0
2015-10-25,-95334.0
2015-10-24,-100300.0
2015-10-23,-101273.0
2015-10-22,-102549.0
2015-10-21,-104307.0
2015-10-20,-103947.0
2015-10-19,-106472.0
2015-10-18,-107152.0
2015-10-17,-104290.0
2015-10-16,-107149.0
2015-10-15,-110324.0
2015-10-14,-110282.0
2015-10-13,-112433.0
2015-10-12,-113880.0
2015-10-11,-113383.0
2015-10-10,-114253.0
2015-10-09,-114702.0
2015-10-08,-115034.0
2015-10-07,-114392.0
2015-10-06,-113906.0
2015-10-05,-117483.0
2015-10-04,-117498.0
2015-10-03,-117465.0
2015-10-02,-117992.0
2015-10-01,-117416.0
2015-09-30,-115111.0
2015-09-29,-115388.0
