Date,Value
2016-07-17,-1230371.13056
2016-07-16,-1263581.17289
2016-07-15,-1128804.24932
2016-07-14,-1084806.10427
2016-07-13,-1086519.59014
2016-07-12,-1074498.08371
2016-07-11,-1122529.24579
2016-07-10,-1270313.16205
2016-07-09,-2234559.93688
2016-07-08,-2151970.83065
2016-07-07,-2146107.78576
2016-07-06,-2599339.36026
2016-07-05,-2107403.2183
2016-07-04,-2673274.22722
2016-07-03,-2417063.65051
2016-07-02,-2321792.83398
2016-07-01,-2898226.1628
2016-06-30,-2630494.47333
2016-06-29,-2005177.60009
2016-06-28,-2439988.41184
2016-06-27,-2254960.76432
2016-06-26,-2429705.96574
2016-06-25,-2544540.93258
2016-06-24,-1861767.5852
2016-06-23,-2051757.18428
2016-06-22,-2086513.88708
2016-06-21,-2528178.45111
2016-06-20,-2887317.85839
2016-06-19,-3461825.47549
2016-06-18,-2777307.78272
2016-06-17,-2656100.04823
2016-06-16,-2984382.79313
2016-06-15,-2310390.97166
2016-06-14,-2319240.00431
2016-06-13,-2800911.42884
2016-06-12,-2345072.87337
2016-06-11,-2190898.90542
2016-06-10,-1986158.89134
2016-06-09,-2305589.8214
2016-06-08,-2198104.50024
2016-06-07,-1916917.01477
2016-06-06,-2541377.70366
2016-06-05,-2131350.52735
2016-06-04,-1755099.29001
2016-06-03,-1991327.20873
2016-06-02,-1989661.26553
2016-06-01,-1635312.81313
2016-05-31,-1889718.46794
2016-05-30,-1657671.53533
2016-05-29,-1937851.57542
2016-05-28,-1795882.03557
2016-05-27,-1566439.44934
2016-05-26,-1502507.57409
2016-05-25,-1475384.5625
2016-05-24,-1564214.07747
2016-05-23,-2037817.75524
2016-05-22,-2018061.52592
2016-05-21,-1481167.71626
2016-05-20,-1582881.49304
2016-05-19,-1487767.19488
2016-05-18,-1542057.03318
2016-05-17,-1629975.93385
2016-05-16,-1494256.32258
2016-05-15,-1763365.20818
2016-05-14,-1481982.50937
2016-05-13,-1689252.30099
2016-05-12,-1592037.56292
2016-05-11,-1560529.23667
2016-05-10,-1702222.06113
2016-05-09,-2086918.28519
2016-05-08,-1760004.15737
2016-05-07,-1760358.92648
2016-05-06,-1879154.11282
2016-05-05,-1723998.56694
2016-05-04,-1777881.78492
2016-05-03,-1703052.2819
2016-05-02,-1629582.24418
2016-05-01,-1719391.87877
2016-04-30,-1682138.61135
2016-04-29,-1690902.63679
2016-04-28,-1457342.8274
2016-04-27,-1524776.7916
2016-04-26,-1575662.74715
2016-04-25,-1497167.82758
2016-04-24,-1473733.74343
2016-04-23,-1641118.36698
2016-04-22,-1562391.37318
2016-04-21,-1817356.24224
2016-04-20,-1595746.45862
2016-04-19,-1592099.43914
2016-04-18,-1423115.97615
2016-04-17,-1614054.81505
2016-04-16,-1519438.80762
2016-04-15,-1535824.27088
2016-04-14,-1728414.58602
2016-04-13,-1647313.61464
2016-04-12,-1597034.46981
2016-04-11,-1568352.25405
2016-04-10,-1820091.35291
2016-04-09,-1675864.55775
2016-04-08,-1469843.48825
2016-04-07,-1509410.27827
2016-04-06,-1612783.28619
2016-04-05,-1550319.05459
2016-04-04,-1699542.59157
2016-04-03,-1517697.24949
2016-04-02,-1544275.64563
2016-04-01,-1406487.64754
2016-03-31,-1284379.12508
2016-03-30,-1617135.47495
2016-03-29,-1738086.35989
2016-03-28,-1483521.64736
2016-03-27,-1618265.4688
2016-03-26,-1513310.8481
2016-03-25,-1495551.53048
2016-03-24,-1555957.98306
2016-03-23,-1561023.74701
2016-03-22,-1529009.03647
2016-03-21,-1277176.51548
2016-03-20,-1537161.58649
2016-03-19,-1353427.44072
2016-03-18,-1393189.38552
2016-03-17,-1393541.83919
2016-03-16,-1747942.77716
2016-03-15,-1558450.24961
2016-03-14,-1544289.94711
2016-03-13,-1338652.37076
2016-03-12,-1471457.40475
2016-03-11,-1699107.57187
2016-03-10,-1656330.83597
2016-03-09,-1682306.2559
2016-03-08,-1363385.89414
2016-03-07,-1578086.99909
2016-03-06,-1403967.67353
2016-03-05,-1568698.70813
2016-03-04,-1560714.53441
2016-03-03,-1370639.0048
2016-03-02,-1654452.74213
2016-03-01,-1357799.89448
2016-02-29,-1448792.57966
2016-02-28,-1596201.35816
2016-02-27,-1398293.48639
2016-02-26,-1572965.3196
2016-02-25,-1507481.49274
2016-02-24,-1282028.64222
2016-02-23,-1387268.36975
2016-02-22,-1406036.01198
2016-02-21,-1351538.28163
2016-02-20,-1717007.8833
2016-02-19,-1433257.5686
2016-02-18,-1867482.81135
2016-02-17,-1444430.22768
2016-02-16,-1497919.68804
2016-02-15,-1473587.16209
2016-02-14,-1796775.12604
2016-02-13,-1472094.46865
2016-02-12,-1501090.22478
2016-02-11,-1791693.13149
2016-02-10,-1584331.19896
2016-02-09,-1558453.89053
2016-02-08,-1497223.65057
2016-02-07,-1686074.56075
2016-02-06,-1765513.3649
2016-02-05,-1723340.32032
2016-02-04,-1765015.79836
2016-02-03,-1584470.92319
2016-02-02,-1509713.16496
2016-02-01,-1617817.45324
2016-01-31,-1674571.11891
2016-01-30,-1657124.59365
2016-01-29,-1586235.31435
2016-01-28,-1395873.87375
2016-01-27,-1499840.93953
2016-01-26,-1597193.85219
2016-01-25,-1656909.77065
2016-01-24,-1664693.25078
2016-01-23,-1722234.0101
2016-01-22,-1571558.02352
2016-01-21,-1348451.58809
2016-01-20,-1471473.36686
2016-01-19,-1395315.30433
2016-01-18,-1670727.89481
2016-01-17,-1326284.64399
2016-01-16,-1274150.85138
2016-01-15,-1190303.68514
2016-01-14,-1411260.0443
2016-01-13,-1628436.303
2016-01-12,-1949811.51699
2016-01-11,-1885043.20282
2016-01-10,-1883650.25774
2016-01-09,-1775994.88657
2016-01-08,-1939798.07299
2016-01-07,-1617885.24601
2016-01-06,-1451545.73422
2016-01-05,-1745629.03601
2016-01-04,-1881799.34113
2016-01-03,-1584573.72558
2016-01-02,-1473297.49135
2016-01-01,-1450581.42014
2015-12-31,-1533970.19595
2015-12-30,-1837534.91789
2015-12-29,-1624465.89356
2015-12-28,-1693740.52548
2015-12-27,-2028698.04703
2015-12-26,-1931600.27932
2015-12-25,-1510323.27031
2015-12-24,-1672681.35531
2015-12-23,-1803145.63182
2015-12-22,-1520145.52542
2015-12-21,-1671208.04196
2015-12-20,-1823619.47144
2015-12-19,-1770422.33679
2015-12-18,-1818394.35392
2015-12-17,-1785346.34315
2015-12-16,-1890817.45907
2015-12-15,-2198887.98434
2015-12-14,-1943044.75075
2015-12-13,-1620009.12444
2015-12-12,-1760915.20157
2015-12-11,-1926161.51433
2015-12-10,-2021962.17677
2015-12-09,-1816535.95984
2015-12-08,-1557400.65522
2015-12-07,-1480563.02949
2015-12-06,-1665440.65477
2015-12-05,-1574067.53514
2015-12-04,-1307455.80614
2015-12-03,-1293661.05844
2015-12-02,-1315257.94696
2015-12-01,-1712998.6745
2015-11-30,-1384976.94344
2015-11-29,-1420748.37482
2015-11-28,-1281751.60125
2015-11-27,-1330147.44366
2015-11-26,-1399243.46363
2015-11-25,-1242936.38614
2015-11-24,-1212170.13954
2015-11-23,-1289681.76741
2015-11-22,-1394951.6828
2015-11-21,-1440535.25571
2015-11-20,-1266228.41931
2015-11-19,-1143106.45081
2015-11-18,-1161025.68875
2015-11-17,-1343259.35867
2015-11-16,-1440488.71748
2015-11-15,-1161164.83112
2015-11-14,-1252911.46909
2015-11-13,-1378218.80997
2015-11-12,-1201868.60644
2015-11-11,-1361922.37104
2015-11-10,-1254371.75641
2015-11-09,-1381397.98191
2015-11-08,-1326059.64419
2015-11-07,-1568018.83913
2015-11-06,-1317572.06525
2015-11-05,-1475739.87971
2015-11-04,-1673237.66163
2015-11-03,-1602090.40495
2015-11-02,-1224465.95116
2015-11-01,-1229609.26064
2015-10-31,-1172677.89936
2015-10-30,-1338786.57133
2015-10-29,-1137938.32468
2015-10-28,-1007769.58311
2015-10-27,-1155329.99491
2015-10-26,-1075604.45594
2015-10-25,-1136025.43872
2015-10-24,-964642.180492
2015-10-23,-1060293.40487
2015-10-22,-1067235.50334
2015-10-21,-967164.307711
2015-10-20,-848562.690373
2015-10-19,-1089158.03121
2015-10-18,-932157.516
2015-10-17,-873563.218625
2015-10-16,-1009301.31751
2015-10-15,-1030553.82071
2015-10-14,-960856.899662
2015-10-13,-829773.261557
2015-10-12,-857347.598876
2015-10-11,-925387.724097
2015-10-10,-909301.249312
2015-10-09,-808136.149709
2015-10-08,-828950.543075
2015-10-07,-821133.017749
2015-10-06,-912976.65753
2015-10-05,-879768.519255
2015-10-04,-899493.610542
2015-10-03,-902899.394892
2015-10-02,-737205.357333
2015-10-01,-913013.168729
2015-09-30,-915203.010857
2015-09-29,-1021799.68619
2015-09-28,-824105.557372
2015-09-27,-833373.191699
2015-09-26,-882282.917524
2015-09-25,-948553.569619
2015-09-24,-842211.80692
2015-09-23,-855896.724281
2015-09-22,-911587.965878
2015-09-21,-741577.842888
2015-09-20,-685880.27788
2015-09-19,-756099.490817
2015-09-18,-832572.436989
2015-09-17,-818713.028264
2015-09-16,-842594.596217
2015-09-15,-930409.392378
2015-09-14,-910772.637329
2015-09-13,-798667.71232
2015-09-12,-790555.287945
2015-09-11,-1030740.54469
2015-09-10,-1005765.16734
2015-09-09,-839942.277339
2015-09-08,-837806.406381
2015-09-07,-814182.861417
2015-09-06,-949528.536957
2015-09-05,-878353.736041
2015-09-04,-871975.845965
2015-09-03,-850221.956336
2015-09-02,-877937.37323
2015-09-01,-861030.97317
2015-08-31,-912203.29694
2015-08-30,-811302.8598
2015-08-29,-936157.968867
2015-08-28,-866642.73394
2015-08-27,-844924.14451
2015-08-26,-880878.483499
2015-08-25,-760270.16219
2015-08-24,-831678.358996
2015-08-23,-778555.223662
2015-08-22,-859411.055407
2015-08-21,-893799.992103
2015-08-20,-897904.056095
2015-08-19,-880721.990333
2015-08-18,-913877.931827
2015-08-17,-921018.983685
2015-08-16,-941491.758483
2015-08-15,-883125.922779
2015-08-14,-888109.866046
2015-08-13,-984011.353944
2015-08-12,-817012.719395
2015-08-11,-1116128.69491
2015-08-10,-1148262.43653
2015-08-09,-890895.069671
2015-08-08,-1053099.4044
2015-08-07,-983551.65137
2015-08-06,-959902.659204
2015-08-05,-880737.500098
2015-08-04,-1016290.16386
2015-08-03,-1038182.18478
2015-08-02,-1095193.04779
2015-08-01,-1140977.1129
2015-07-31,-979288.789712
2015-07-30,-975052.353942
2015-07-29,-1071899.03582
2015-07-28,-1040106.91435
2015-07-27,-1117783.31207
2015-07-26,-1002891.90362
2015-07-25,-1092120.70819
2015-07-24,-1199816.69919
2015-07-23,-1023210.36713
2015-07-22,-1011734.35564
2015-07-21,-968561.572963
2015-07-20,-992183.272777
2015-07-19,-981786.526307
2015-07-18,-1099863.95696
2015-07-17,-993855.794291
2015-07-16,-930086.080082
2015-07-15,-1112005.51762
2015-07-14,-1009518.35894
2015-07-13,-1041014.52021
2015-07-12,-1052989.86806
2015-07-11,-1053095.93642
2015-07-10,-1108031.85248
2015-07-09,-922355.412638
2015-07-08,-1024770.04646
2015-07-07,-976931.678676
2015-07-06,-1153811.23988
2015-07-05,-977171.037329
2015-07-04,-994347.98476
2015-07-03,-1026731.94854
2015-07-02,-887111.880725
2015-07-01,-928659.53472
2015-06-30,-931343.81128
2015-06-29,-864789.300463
2015-06-28,-910375.539242
2015-06-27,-790971.230964
2015-06-26,-888044.024614
2015-06-25,-963650.592639
2015-06-24,-904386.349594
2015-06-23,-866421.215051
2015-06-22,-905772.485228
