Date,Close/Last,Volume,Open,High,Low
02/24/2023,3970.04,--,3973.24,3978.25,3943.08
02/23/2023,4012.32,--,4018.60,4028.30,3969.19
02/22/2023,3991.05,--,4001.83,4017.37,3976.90
02/21/2023,3997.34,--,4052.35,4052.35,3995.19
02/17/2023,4079.09,--,4077.39,4081.51,4047.95
02/16/2023,4090.41,--,4114.75,4136.54,4089.49
02/15/2023,4147.60,--,4119.50,4148.11,4103.98
02/14/2023,4136.13,--,4126.70,4159.77,4095.01
02/13/2023,4137.29,--,4096.62,4138.90,4092.67
02/10/2023,4090.46,--,4068.92,4094.36,4060.79
02/09/2023,4081.50,--,4144.25,4156.23,4069.67
02/08/2023,4117.86,--,4153.47,4156.85,4111.67
02/07/2023,4164.00,--,4105.35,4176.54,4088.39
02/06/2023,4111.08,--,4119.57,4124.63,4093.38
02/03/2023,4136.48,--,4136.69,4182.36,4123.36
02/02/2023,4179.76,--,4158.68,4195.44,4141.88
02/01/2023,4119.21,--,4070.07,4148.95,4037.20
01/31/2023,4076.60,--,4020.85,4077.16,4020.44
01/30/2023,4017.77,--,4049.27,4063.85,4015.55
01/27/2023,4070.56,--,4053.72,4094.21,4048.70
01/26/2023,4060.43,--,4036.08,4061.57,4013.29
01/25/2023,4016.22,--,3982.71,4019.55,3949.06
01/24/2023,4016.95,--,4001.74,4023.92,3989.79
01/23/2023,4019.81,--,3978.14,4039.31,3971.64
01/20/2023,3972.61,--,3909.04,3972.96,3897.86
01/19/2023,3898.85,--,3911.84,3922.94,3885.54
01/18/2023,3928.86,--,4002.25,4014.16,3926.59
01/17/2023,3990.97,--,3999.28,4015.39,3984.57
01/13/2023,3999.09,--,3960.60,4003.95,3947.67
01/12/2023,3983.17,--,3977.57,3997.76,3937.56
01/11/2023,3969.61,--,3932.35,3970.07,3928.54
01/10/2023,3919.25,--,3888.57,3919.83,3877.29
01/09/2023,3892.09,--,3910.82,3950.57,3890.42
01/06/2023,3895.08,--,3823.37,3906.19,3809.56
01/05/2023,3808.10,--,3839.74,3839.74,3802.42
01/04/2023,3852.97,--,3840.36,3873.16,3815.77
01/03/2023,3824.14,--,3853.29,3878.46,3794.33
