Date,Value
2023-01-31,126.447
2022-12-31,127.164
2022-11-30,126.694
2022-10-31,126.199
2022-09-30,123.764
2022-08-31,123.148
2022-07-31,122.539
2022-06-30,121.791
2022-05-31,120.82
2022-04-30,120.036
2022-03-31,117.094
2022-02-28,115.827
2022-01-31,114.898
2021-12-31,115.051
2021-11-30,114.477
2021-10-31,113.64
2021-09-30,112.415
2021-08-31,112.085
2021-07-31,111.297
2021-06-30,111.314
2021-05-31,110.76
2021-04-30,110.114
2021-03-31,109.41
2021-02-28,109.089
2021-01-31,108.954
2020-12-31,109.171
2020-11-30,108.891
2020-10-31,109.053
2020-09-30,109.056
2020-08-31,108.613
2020-07-31,109.072
2020-06-30,108.584
2020-05-31,108.466
2020-04-30,108.459
2020-03-31,108.634
2020-02-29,108.639
2020-01-31,108.196
2019-12-31,108.532
2019-11-30,108.549
2019-10-31,108.298
2019-09-30,108.479
2019-08-31,108.375
2019-07-31,107.949
2019-06-30,107.933
2019-05-31,107.948
2019-04-30,107.633
2019-03-31,107.004
2019-02-28,106.813
2019-01-31,106.315
2018-12-31,107.137
2018-11-30,106.972
2018-10-31,106.735
2018-09-30,106.65
2018-08-31,106.538
2018-07-31,105.769
2018-06-30,105.811
2018-05-31,105.81
2018-04-30,105.401
2018-03-31,105.001
2018-02-28,104.853
2018-01-31,104.386
2017-12-31,104.929
2017-11-30,104.557
2017-10-31,104.242
2017-09-30,104.131
2017-08-31,103.785
2017-07-31,103.215
2017-06-30,103.284
2017-05-31,103.309
2017-04-30,102.949
2017-03-31,102.482
2017-02-28,102.088
2017-01-31,101.356
2016-12-31,101.9
2016-11-30,101.421
2016-10-31,101.205
2016-09-30,101.138
2016-08-31,100.898
2016-07-31,100.571
2016-06-30,100.624
2016-05-31,100.422
2016-04-30,100.232
2016-03-31,100.162
2016-02-29,99.795
2016-01-31,99.549
2015-12-31,100.336
2015-11-30,100.253
2015-10-31,100.293
2015-09-30,100.16
2015-08-31,100.257
2015-07-31,100.008
2015-06-30,100.163
2015-05-31,100.115
2015-04-30,99.945
2015-03-31,99.701
2015-02-28,99.512
2015-01-31,99.258
2014-12-31,100.134
2014-11-30,100.142
2014-10-31,100.404
2014-09-30,100.285
2014-08-31,100.249
2014-07-31,99.862
2014-06-30,100.203
2014-05-31,100.004
2014-04-30,100.066
2014-03-31,99.711
2014-02-28,99.481
2014-01-31,98.979
2013-12-31,99.589
2013-11-30,99.179
2013-10-31,99.126
2013-09-30,99.07
2013-08-31,98.72
2013-07-31,98.295
2013-06-30,98.339
2013-05-31,98.532
2013-04-30,98.323
2013-03-31,98.135
2013-02-28,97.795
2013-01-31,97.144
2012-12-31,97.604
2012-11-30,97.154
2012-10-31,97.001
2012-09-30,96.492
2012-08-31,96.134
2012-07-31,95.65
2012-06-30,95.55
2012-05-31,95.942
2012-04-30,95.999
2012-03-31,95.433
2012-02-29,95.147
2012-01-31,94.577
2011-12-31,95.059
2011-11-30,94.634
2011-10-31,94.479
2011-09-30,94.413
2011-08-31,93.81
2011-07-31,93.262
2011-06-30,93.266
2011-05-31,93.353
2011-04-30,93.163
2011-03-31,92.241
2011-02-28,91.987
2011-01-31,91.312
2010-12-31,91.23
2010-11-30,90.331
2010-10-31,89.995
2010-09-30,89.765
2010-08-31,89.764
2010-07-31,89.305
2010-06-30,89.506
2010-05-31,89.373
2010-04-30,89.17
2010-03-31,88.661
2010-02-28,88.152
2010-01-31,87.828
2009-12-31,87.972
2009-11-30,87.48
2009-10-31,87.235
2009-09-30,87.083
2009-08-31,87.047
2009-07-31,86.658
2009-06-30,86.689
2009-05-31,86.441
2009-04-30,85.963
2009-03-31,85.759
2009-02-28,85.613
2009-01-31,84.878
2008-12-31,85.498
2008-11-30,85.842
2008-10-31,85.936
2008-09-30,86.142
2008-08-31,85.673
2008-07-31,85.145
2008-06-30,85.162
2008-05-31,84.584
2008-04-30,84.046
2008-03-31,83.369
2008-02-29,82.997
2008-01-31,82.407
2007-12-31,82.967
2007-11-30,82.494
2007-10-31,82.274
2007-09-30,81.875
2007-08-31,81.818
2007-07-31,81.529
2007-06-30,82.028
2007-05-31,81.849
2007-04-30,81.622
2007-03-31,81.366
2007-02-28,80.983
2007-01-31,80.645
2006-12-31,81.274
2006-11-30,80.803
2006-10-31,80.587
2006-09-30,80.46
2006-08-31,80.394
2006-07-31,80.045
2006-06-30,80.091
2006-05-31,79.854
2006-04-30,79.423
2006-03-31,78.946
2006-02-28,78.779
2006-01-31,78.514
2005-12-31,78.918
2005-11-30,78.679
2005-10-31,78.683
2005-09-30,78.565
2005-08-31,78.449
2005-07-31,78.193
2005-06-30,78.143
2005-05-31,78.104
2005-04-30,77.843
2005-03-31,77.542
2005-02-28,77.208
2005-01-31,77.015
2004-12-31,77.433
2004-11-30,77.031
2004-10-31,76.878
2004-09-30,76.678
2004-08-31,76.602
2004-07-31,76.405
2004-06-30,76.601
2004-05-31,76.637
2004-04-30,76.358
2004-03-31,76.088
2004-02-29,75.953
2004-01-31,75.786
2003-12-31,76.159
2003-11-30,75.926
2003-10-31,75.959
2003-09-30,75.858
2003-08-31,75.623
2003-07-31,75.346
2003-06-30,75.408
2003-05-31,75.528
2003-04-30,75.502
2003-03-31,75.255
2003-02-28,74.989
2003-01-31,74.721
2002-12-31,75.204
2002-11-30,74.928
2002-10-31,74.944
2002-09-30,74.789
2002-08-31,74.586
2002-07-31,74.372
2002-06-30,74.583
2002-05-31,74.592
2002-04-30,74.426
2002-03-31,74.116
2002-02-28,73.824
2002-01-31,73.736
2001-12-31,73.975
2001-11-30,73.788
2001-10-31,73.933
2001-09-30,74.054
2001-08-31,73.852
2001-07-31,73.559
2001-06-30,74.126
2001-05-31,73.98
2001-04-30,73.42
2001-03-31,72.995
2001-02-28,72.749
2001-01-31,72.553
2000-12-31,73.2
2000-11-30,73.205
2000-10-31,73.05
2000-09-30,73.083
2000-08-31,72.526
2000-07-31,72.508
2000-06-30,72.876
2000-05-31,72.771
2000-04-30,72.573
2000-03-31,72.338
2000-02-29,72.159
2000-01-31,71.936
1999-12-31,72.615
1999-11-30,72.435
1999-10-31,72.33
1999-09-30,72.387
1999-08-31,72.097
1999-07-31,71.877
1999-06-30,72.306
1999-05-31,72.382
1999-04-30,72.168
1999-03-31,71.88
1999-02-28,71.489
1999-01-31,71.367
1998-12-31,71.808
1998-11-30,71.59
1998-10-31,71.534
1998-09-30,71.548
1998-08-31,71.238
1998-07-31,70.952
1998-06-30,71.343
1998-05-31,71.449
1998-04-30,71.072
1998-03-31,70.7
1998-02-28,70.498
1998-01-31,70.254
1997-12-31,70.708
1997-11-30,70.637
1997-10-31,70.571
1997-09-30,70.553
1997-08-31,70.305
1997-07-31,69.943
1997-06-30,70.168
1997-05-31,70.021
1997-04-30,69.805
1997-03-31,69.549
1997-02-28,69.399
1997-01-31,69.231
1996-12-31,69.519
1996-11-30,69.306
1996-10-31,69.257
1996-09-30,69.282
1996-08-31,68.942
1996-07-31,68.575
1996-06-30,69.013
1996-05-31,68.946
1996-04-30,68.734
1996-03-31,68.378
1996-02-29,68.095
1996-01-31,67.775
1995-12-31,67.964
1995-11-30,67.567
1995-10-31,67.564
1995-09-30,67.749
1995-08-31,67.419
1995-07-31,67.098
1995-06-30,67.45
1995-05-31,67.386
1995-04-30,67.049
1995-03-31,66.67
1995-02-28,66.323
1995-01-31,66.03
1994-12-31,66.015
1994-11-30,65.75
1994-10-31,65.684
1994-09-30,65.794
1994-08-31,65.709
1994-07-31,65.354
1994-06-30,65.757
1994-05-31,65.759
1994-04-30,65.55
1994-03-31,64.981
1994-02-28,64.777
1994-01-31,64.477
1993-12-31,64.692
1993-11-30,64.561
1993-10-31,64.703
1993-09-30,64.797
1993-08-31,64.495
1993-07-31,64.249
1993-06-30,64.454
1993-05-31,64.495
1993-04-30,64.256
1993-03-31,63.561
1993-02-28,63.187
1993-01-31,62.8
1992-12-31,63.17
1992-11-30,63.117
1992-10-31,63.072
1992-09-30,62.874
1992-08-31,62.666
1992-07-31,62.625
1992-06-30,62.939
1992-05-31,62.911
1992-04-30,62.694
1992-03-31,62.02
1992-02-29,61.707
1992-01-31,61.423
1991-12-31,61.599
1991-11-30,61.547
1991-10-31,61.306
1991-09-30,61.058
1991-08-31,60.87
1991-07-31,60.455
1991-06-30,60.621
1991-05-31,60.294
1991-04-30,59.873
1991-03-31,57.933
1991-02-28,57.74
1991-01-31,57.421
1990-12-31,57.46
1990-11-30,57.485
1990-10-31,57.428
1990-09-30,57.007
1990-08-31,56.416
1990-07-31,55.836
1990-06-30,55.929
1990-05-31,55.735
1990-04-30,55.211
1990-03-31,54.217
1990-02-28,53.954
1990-01-31,53.637
1989-12-31,53.393
1989-11-30,53.326
1989-10-31,53.108
1989-09-30,52.722
1989-08-31,52.373
1989-07-31,52.288
1989-06-30,52.339
1989-05-31,52.168
1989-04-30,51.871
1989-03-31,51.158
1989-02-28,50.959
1989-01-31,50.765
1988-12-31,50.608
1988-11-30,50.534
1988-10-31,50.347
1988-09-30,50.122
1988-08-31,49.88
1988-07-31,49.72
1988-06-30,49.73
1988-05-31,49.529
1988-04-30,49.28
1988-03-31,48.717
1988-02-29,48.551
1988-01-31,48.395
