Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Bitcoin BTC,21843.5,421280203452,32672601910,-4.99,-7.31,22.33,68692.14,-68.0
Ethereum ETH,1550.51,189741809355,10603714275,-6.17,-5.9,11.95,4864.11,-68.0
Tether USDT,1.00015,68194521656,48160514556,0.01,-0.01,0.71,1.21549,-18.0
BNB BNB,306.008,48318501610,787378189,-6.85,-6.17,7.97,2466.7,-88.0
USD Coin USDC,1.0001,41496407788,4478803250,0.01,0.02,0.39,1.02484,-3.0
XRP XRP,0.38333,19473041428,1501174513,-3.7,-6.68,2.67,3.84194,-90.0
Binance USD BUSD,1.00001,16161691532,13182013915,0.01,-0.01,0.74,1.17612,-15.0
Cardano ADA,0.36107,12501099663,493098135,-8.38,-9.93,12.53,3.09503,-88.0
Dogecoin DOGE,0.08159,10824768767,831435161,-9.7,-10.68,4.85,0.75287,-89.0
Polygon MATIC,1.23842,10816717260,1286462678,-4.89,3.98,38.52,2.9146,-58.0
Solana SOL,20.5605,7709685240,814108796,-11.33,-15.65,25.59,259.705,-92.0
Polkadot DOT,6.24151,7210206792,513970596,-7.95,-5.11,22.15,55.0043,-89.0
SHIBA INU SHIB,1e-05,6682749920,505973709,-11.52,-0.58,33.49,9e-05,-86.0
Litecoin LTC,92.2263,6662873846,846223058,-7.19,-7.4,11.05,185.23,-49.0
Dai DAI,0.9996,5790591641,235431312,-0.03,0.02,0.41,1.36678,-27.0
TRON TRX,0.06262,5742152426,653981840,-6.21,-2.37,11.31,0.30036,-79.0
Avalanche AVAX,17.8953,5639109344,388925984,-11.13,-15.71,13.34,145.665,-88.0
Uniswap UNI,6.31581,4813969912,239042595,-7.21,-12.25,7.19,45.0125,-86.0
Cosmos ATOM,13.509,3868585608,302220887,-11.21,-6.99,14.44,44.5529,-70.0
Wrapped Bitcoin WBTC,21840.41,3854220582,226041216,-4.95,-7.14,22.38,68705.97,-68.0
Chainlink LINK,7.01144,3561808793,1114296884,-1.87,-1.85,11.57,53.0122,-87.0
UNUS SED LEO LEO,3.35859,3203940570,1869949,0.12,0.87,-4.14,8.11487,-59.0
Ethereum Classic ETC,20.896,2908572447,314803720,-7.86,-7.3,2.44,167.082,-87.0
Monero XMR,152.887,2788389182,109942888,-8.16,-11.64,-9.09,519.759,-71.0
Toncoin TON,2.18818,2672649059,34700412,-4.68,-8.12,19.6,15.3746,-90.0
Bitcoin Cash BCH,126.348,2439468462,291244740,-3.97,-7.95,15.81,4355.62,-97.0
OKB OKB,39.4794,2368763576,69830387,-12.79,-0.63,42.59,45.9761,-14.0
Lido DAO Token LDO,2.78137,2342034110,949510990,4.28,23.3,40.91,10.5664,-74.0
Stellar XLM,0.08539,2249471237,90888210,-6.17,-7.12,5.55,0.93814,-91.0
Aptos APT,13.2,2146638333,909134491,-11.96,-22.59,150.79,19.9463,-34.0
Cronos CRO,0.07715,1949005474,31946023,-8.05,-3.81,19.18,0.95855,-92.0
NEAR Protocol NEAR,2.24685,1914185703,279936396,-13.66,-8.04,24.85,20.3955,-89.0
Hedera HBAR,0.07316,1905974172,81037648,-3.11,8.7,56.68,0.56614,-87.0
ApeCoin APE,5.08067,1872701750,174391011,-11.81,-13.72,2.06,7.15066,-29.0
Filecoin FIL,4.80682,1872324245,274178995,-11.73,-12.59,28.87,236.965,-98.0
Algorand ALGO,0.2543,1824971615,195660554,-11.75,-1.21,21.61,2.64524,-90.0
VeChain VET,0.02329,1688530421,97903630,-10.04,-3.95,27.12,0.27435,-92.0
Quant QNT,130.701,1577915357,42694647,-6.14,-9.45,8.42,426.18,-69.0
Internet Computer ICP,5.06913,1464228472,56827253,-11.3,-12.49,17.53,342.229,-99.0
The Graph GRT,0.15028,1320043321,413221235,-16.54,57.73,105.17,2.65929,-94.0
Fantom FTM,0.45216,1255472693,492285685,-14.38,-24.95,75.74,3.52667,-87.0
Decentraland MANA,0.67673,1255388697,231854592,-11.45,-13.77,68.0,5.85265,-88.0
BitDAO BIT,0.56948,1190741724,23053062,-4.34,3.93,25.56,0.00028,-97.0
EOS EOS,1.0484,1133595113,353129836,-3.5,-2.17,7.52,22.8904,-95.0
Aave AAVE,78.0215,1099571780,212553470,-10.25,-11.83,21.64,666.029,-88.0
The Sandbox SAND,0.72731,1090579659,451386529,-14.06,-3.0,39.78,8.59644,-92.0
Flow (Dapper Labs) FLOW,1.01683,1053637291,115229076,-10.79,-8.73,25.21,43.8585,-98.0
MultiversX EGLD,42.1644,1053172047,34201117,-8.76,-6.51,16.9,541.042,-92.0
Theta THETA,1.04156,1041561489,63243072,-8.85,-3.21,26.28,16.5852,-94.0
Axie Infinity AXS,10.2294,1039413776,249393565,-13.65,-8.95,36.67,164.876,-94.0
Tezos XTZ,1.0735,994701899,41494353,-12.55,-2.07,26.07,12.1894,-91.0
Terra Classic LUNC,0.00016,954363448,131085953,-11.51,-5.35,-2.59,104.473,-100.0
TrueUSD TUSD,0.99882,945965168,48851563,-0.09,-0.12,0.23,1.36449,-27.0
Chiliz CHZ,0.13777,917754938,252856093,-11.43,-2.09,14.78,0.89121,-84.0
Frax Share FXS,12.4739,917055877,284749578,-4.38,15.33,13.17,207.337,-74.0
Paxos Standard USDP,0.99894,877152793,2836886,-0.16,-0.14,0.47,1.09061,-8.0
Huobi Token HT,4.99626,810562322,13585075,-6.66,-14.17,2.03,39.6615,-87.0
KuCoin Token KCS,8.17289,804047939,2156794,-6.13,-5.92,14.68,28.8059,-72.0
Bitcoin SV BSV,40.9783,789491529,54492593,-3.95,-4.04,-0.08,495.937,-92.0
USDD USDD,0.98981,717940334,23316488,-0.11,-0.45,1.9,1.00983,-2.0
Curve DAO Token CRV,0.97784,709893288,190625410,-14.01,-8.51,45.67,6.7373,-85.0
Immutable X IMX,0.88715,704179741,104503847,-13.47,1.09,80.81,1.97054,-55.0
Zcash ZEC,42.8676,699859127,85249188,-5.48,-6.91,-3.44,5941.8,-99.0
Maker MKR,708.207,692365510,53900879,-8.83,5.18,11.85,6302.63,-89.0
PancakeSwap CAKE,4.15919,686163826,203698987,-10.98,-0.51,20.84,44.1414,-91.0
BitTorrent BTT,0.0,667725256,56317181,-6.22,-5.42,-19.26,0.01428,-100.0
Neo NEO,9.35319,659763338,282992096,2.71,6.37,27.09,196.853,-95.0
eCash XEC,3e-05,655442464,18140002,-9.58,-8.31,28.61,0.00039,-91.0
Dash DASH,57.5642,640155181,141095072,-10.58,-8.01,17.47,1642.22,-97.0
IOTA MIOTA,0.22866,635574741,20459043,-7.39,-1.77,18.71,5.69002,-96.0
Mina MINA,0.74296,619286338,142130496,-10.45,-11.72,45.97,6.45649,-88.0
Synthetix SNX,2.38137,599281556,63684917,-11.49,-5.24,31.45,28.8622,-92.0
Klaytn KLAY,0.19291,596982006,44878639,-4.77,-3.93,9.86,2.96753,-93.0
Gemini Dollar GUSD,0.98146,595793520,899919,-0.8,-0.45,-0.4,1.65168,-39.0
Trust Wallet Token TWT,1.41033,587611823,44014102,-8.41,-14.47,-6.01,2.73925,-48.0
Optimism OP,2.42999,570435994,590852263,-12.82,-13.16,88.56,3.2051,-24.0
THORChain RUNE,1.66699,545199613,71859680,-11.55,-10.54,81.52,21.2898,-54.0
Rocket Pool RPL,49.9526,513499905,92900951,20.92,19.18,84.39,60.321,-17.0
GMX GMX,60.614,512576289,54581392,-9.87,-7.35,31.46,76.9188,-21.0
PAX Gold PAXG,1845.54,500626749,12945974,-0.95,-3.14,-0.75,192278.7,-99.0
Osmosis OSMO,1.00945,497247605,33604915,-9.08,-4.75,27.67,3.22099,-69.0
