rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,28144.17,543866133348,35741033251,0.87,13.01,13.2,68692.14,-59
1,Ethereum ETH,1798.76,220121480824,10721760840,2.44,5.17,5.42,4864.11,-63
2,Tether USDT,1.00188,77581890589,49529322917,0.03,-0.06,0.25,1.21549,-18
3,BNB BNB,336.071,53062435334,662931733,0.24,7.96,6.26,690.568,-51
4,USD Coin USDC,0.99868,35239536896,4936859724,0.08,0.04,-0.12,1.90620,-48
5,XRP XRP,0.46046,23460611300,4527412209,20.3,22.68,15.35,3.84194,-88
6,Cardano ADA,0.36992,12843145697,742029937,9.35,7.2,-7.9,3.09503,-88
7,Dogecoin DOGE,0.07572,10045963452,655752544,5.12,0.34,-13.99,0.75287,-90
8,Polygon MATIC,1.14613,10010666027,539757279,3.13,-5.14,-22.71,2.91460,-61
9,Solana SOL,22.2730,8544529265,702367150,0.03,5.29,-14.22,259.705,-91
10,Binance USD BUSD,1.00016,8120953220,6395315181,0.1,0.06,0.03,1.17612,-15
11,Polkadot DOT,6.32356,7387894314,226279605,3.18,-0.01,-15.72,440.042,-99
12,SHIBA INU SHIB,0.00001,6447969370,331002437,3.78,-3.75,-18.39,0.00009,-88
13,TRON TRX,0.06701,6108370757,267321603,1.75,-0.47,-6.62,0.30036,-78
14,Litecoin LTC,81.9215,5938919153,555415533,3.65,-3.49,-15.09,412.701,-80
15,Avalanche AVAX,17.4858,5693947114,197987581,5.36,0.85,-15.72,145.665,-88
16,Dai DAI,0.99833,5584845572,196108387,0.02,0.03,-0.09,1.36678,-27
17,Uniswap UNI,6.39452,4873963778,93312429,2.87,-0.02,-13.41,45.0125,-86
18,Wrapped Bitcoin WBTC,28121.71,4225301903,271651133,0.74,13.04,13.11,68705.97,-59
19,Chainlink LINK,7.42275,3838303022,382795556,3.73,5.49,-7.01,53.0122,-86
20,Cosmos ATOM,11.8561,3395229016,165971425,2.23,-10.01,-17.87,44.5529,-73
21,UNUS SED LEO LEO,3.55350,3389880718,1325760,5.81,5.55,6.47,8.11487,-56
22,Toncoin TON,2.40875,2942047875,29509281,1.12,-1.4,-10.42,15.3746,-88
23,Ethereum Classic ETC,20.6370,2889245324,255700441,4.62,1.14,-13.96,167.082,-88
24,Monero XMR,152.595,2785704074,112355342,0.52,0.63,-5.83,519.759,-71
25,OKB OKB,45.0370,2702219044,37427908,0.48,-9.23,-15.0,58.7128,-23
26,Bitcoin Cash BCH,133.304,2578533774,211281228,1.4,0.57,-11.54,4355.62,-97
27,Stellar XLM,0.09557,2538459122,218322099,8.56,8.0,0.5,0.93814,-90
28,Filecoin FIL,5.84346,2380667269,293394667,0.43,-16.71,-30.98,236.965,-98
29,Aptos APT,11.9948,2126756888,266498532,-1.46,-13.61,-14.84,19.9463,-40
30,TrueUSD TUSD,1.00030,2035641386,52101688,0.15,0.07,0.09,1.36449,-27
31,Lido DAO Token LDO,2.37171,2033945297,117937544,2.95,-15.2,-19.86,6.95936,-66
32,Hedera HBAR,0.06356,1909942952,50644900,2.33,-4.94,-26.08,0.56614,-89
33,Cronos CRO,0.07138,1803341842,17683894,1.96,-2.57,-17.17,0.95855,-93
34,NEAR Protocol NEAR,2.04261,1768946137,132031535,1.98,-4.74,-23.79,20.3955,-90
35,VeChain VET,0.02345,1700747828,69656161,2.51,-2.98,-24.33,9.55167,-100
36,Algorand ALGO,0.22200,1582575250,77043844,5.25,-1.36,-22.14,2.64524,-92
37,Quant QNT,129.852,1567674385,24152860,3.14,-0.45,-6.57,426.180,-70
38,Internet Computer ICP,5.23947,1560046109,39683224,1.58,-6.89,-28.41,342.229,-98
39,Stacks STX,1.11011,1517845744,372672118,-6.41,6.53,88.46,3.24787,-65
40,ApeCoin APE,4.09623,1509844584,99678550,0.96,-6.83,-30.13,26.8373,-85
41,The Graph GRT,0.15085,1339802802,88789873,0.09,-2.92,-10.41,2.65929,-94
42,Fantom FTM,0.47666,1326426672,344543074,3.03,5.07,-6.84,3.52667,-86
43,EOS EOS,1.17171,1266925660,194389316,0.06,2.57,-9.0,22.8904,-95
44,BitDAO BIT,0.55498,1160422892,8577126,4.4,2.61,-12.39,3.08453,-82
45,Decentraland MANA,0.60862,1129040226,97139369,1.11,-1.61,-17.84,5.85265,-90
46,Aave AAVE,78.5692,1107290605,67776086,2.77,-1.8,-14.32,666.029,-88
47,Tezos XTZ,1.17596,1095450454,27973645,1.58,-3.74,-5.85,9.05494,-87
48,Flow (Dapper Labs) FLOW,1.05502,1093214564,130377556,-5.58,0.11,-23.04,43.8585,-98
49,MultiversX EGLD,43.4413,1093157022,42229983,1.16,-1.41,-19.19,541.042,-92
50,Immutable X IMX,1.25131,1086871228,92216506,-1.12,0.65,20.18,2.81550,-56
