,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH,Liquidity_risk
0,Bitcoin BTC,16754.10,321753962451,61788082968,-5.63,-19.67,-10.82,68692.14,-76,
1,Ethereum ETH,1246.62,152554211210,22269609274,-6.53,-23.35,0.49,4864.11,-74,
2,Tether USDT,0.99839,68161596856,82216147286,0.01,-0.17,0.41,1.21549,-17,
3,BNB BNB,283.432,45342158013,1706269706,-8.47,-19.67,7.58,2466.70,-88,
4,USD Coin USDC,1.00037,43874730306,5601248745,-0.06,0.04,0.54,1.90620,-47,
5,Binance USD BUSD,1.00118,23001540335,14994050292,0.05,0.09,0.47,1.17612,-15,
6,XRP XRP,0.37193,18676810981,1920604962,-5.12,-24.43,-20.63,3.84194,-90,
7,Cardano ADA,0.34607,11889816794,693061728,-7.52,-16.17,-6.56,3.09503,-89,
8,Dogecoin DOGE,0.08212,10894665232,1508333410,-10.15,-33.53,43.04,0.75287,-89,
9,Polygon MATIC,1.00620,8788483110,1726264584,-12.01,-10.81,34.2,2.91460,-65,
10,Polkadot DOT,5.56926,6318099476,409993707,-9.11,-18.24,-5.9,55.0043,-90,
11,Solana SOL,16.3154,5916507831,2665868076,-10.14,-50.85,-44.01,259.705,-94,
12,Dai DAI,1.00044,5870073170,542321761,-0.26,0.09,0.45,1.36678,-26,
13,SHIBA INU SHIB,0.00001,5295314381,361288496,-6.78,-22.43,-1.34,0.00009,-89,
14,TRON TRX,0.05554,5121501420,883243463,-5.94,-12.01,-7.56,0.30036,-81,
15,Uniswap UNI,5.83219,4445349162,228545611,-0.13,-23.55,-1.03,45.0125,-87,
16,Litecoin LTC,59.5545,4263465692,1378346994,-0.78,-12.37,19.93,412.701,-86,
17,Avalanche AVAX,13.9855,4194717465,292840965,-11.24,-27.05,-7.27,145.665,-90,
18,Wrapped Bitcoin WBTC,16737.01,3992838613,233509804,-5.53,-19.68,-10.48,68705.97,-76,
19,UNUS SED LEO LEO,3.89305,3713787913,2826983,0.99,-12.5,-5.63,8.11487,-51,
20,Chainlink LINK,6.73450,3310679125,612047216,-9.34,-19.03,-0.05,53.0122,-87,
21,Cosmos ATOM,11.3844,3260144731,293744313,-7.82,-23.76,2.68,44.5529,-74,
22,Ethereum Classic ETC,20.9875,2893148018,434992793,-6.33,-16.94,-6.57,167.082,-87,
23,Stellar XLM,0.09277,2380133970,118771634,-7.52,-18.16,-16.01,0.93814,-90,
24,Monero XMR,125.249,2279449082,165549168,-6.38,-18.28,-9.7,519.759,-76,
25,Cronos CRO,0.08724,2203912704,83404082,-9.21,-23.64,-13.19,0.95855,-91,
26,Algorand ALGO,0.29073,2062318565,285955915,-9.82,-26.7,-4.57,2.64524,-89,
27,Bitcoin Cash BCH,101.487,1951205014,310153389,-1.78,-17.23,-4.01,4355.62,-98,
28,Toncoin TON,1.54116,1882376819,8891647,-0.34,-5.7,-12.29,15.3746,-92,
29,NEAR Protocol NEAR,2.07879,1707379989,234930916,-11.45,-35.45,-30.08,20.3955,-90,
30,VeChain VET,0.02086,1512264791,91372968,-6.47,-16.46,-5.78,0.27435,-92,
31,Filecoin FIL,4.33930,1381621730,184351367,-8.59,-28.63,-11.61,236.965,-98,
32,Quant QNT,114.104,1377553649,106508364,-12.2,-30.05,-25.84,426.180,-73,
33,Chiliz CHZ,0.21371,1283746802,1262534236,0.25,-13.66,22.27,0.89121,-76,
34,Flow (Dapper Labs) FLOW,1.23175,1276336755,54358171,-9.88,-31.7,-15.44,43.8585,-97,
35,Terra Classic LUNC,0.00018,1219047363,235713533,-8.15,-18.92,-32.56,104.473,-100,
36,OKB OKB,19.2806,1156834224,24852870,-3.74,-6.88,15.77,44.1095,-56,
37,Chain XCN,0.05150,1105756153,50483575,16.56,-1.55,-29.17,0.09397,-46,
38,Internet Computer ICP,3.94562,1077260332,66175419,-8.71,-29.0,-20.03,342.229,-99,
39,Hedera HBAR,0.04676,1074042139,41018216,-9.42,-24.66,-24.73,0.56614,-92,
40,Elrond EGLD,45.0988,1067642211,43277192,-5.81,-25.0,-16.38,541.042,-92,
41,Tezos XTZ,1.05526,966316227,27432055,-8.33,-24.87,-22.86,12.1894,-91,
42,ApeCoin APE,3.09151,948707454,237779992,-14.07,-33.44,-29.34,7.15066,-57,
43,Paxos Standard USDP,1.00306,948539108,11196343,-0.33,0.38,0.7,1.09061,-8,
44,Theta THETA,0.93576,935760745,39033886,-8.14,-27.93,-2.84,16.5852,-94,
45,The Sandbox SAND,0.61441,921294405,261732485,-9.51,-29.08,-16.37,8.59644,-93,
46,EOS EOS,0.90203,907092052,249645222,-5.45,-23.63,-8.12,22.8904,-96,
47,Decentraland MANA,0.48680,903057407,113275087,-9.19,-27.95,-21.05,5.85265,-92,
48,Aave AAVE,62.8546,885822096,127004520,-8.95,-33.58,-8.52,666.029,-91,
49,Huobi Token HT,5.58816,856986665,38604656,-14.6,-35.02,-23.51,39.6615,-86,
50,Gemini Dollar GUSD,1.00741,837416966,1367839,0.08,0.48,1.03,1.65168,-39,
51,TrueUSD TUSD,1.00065,768591465,70585975,-0.12,0.02,0.51,1.36449,-26,
52,KuCoin Token KCS,7.75903,763332381,4052650,-9.39,-23.68,-13.9,28.8059,-73,
53,Maker MKR,765.625,748498395,69762377,-8.68,-14.66,-16.91,6302.63,-88,
54,Bitcoin SV BSV,37.9035,728569861,69812368,-4.25,-21.14,-23.01,495.937,-92,
55,USDD USDD,0.97685,708540636,40120199,0.32,-1.94,-1.59,1.00983,-2,
56,BitTorrent BTT,0.00000,671512269,23794958,-6.46,-13.2,-98.81,0.01428,-100,
57,BitDAO BIT,0.31702,662874751,51046836,-8.53,-24.83,-26.63,3.08453,-90,
58,Axie Infinity AXS,6.74792,649108697,91962512,-9.32,-26.88,-37.3,164.876,-96,
59,Neutrino USD USDN,0.93937,639023677,2705900,1.35,-3.71,-5.42,12.8042,-93,
60,Zcash ZEC,39.0668,612519636,62521270,-0.6,-26.2,-21.0,5941.80,-99,
61,IOTA MIOTA,0.22059,613146832,16980335,-5.42,-17.0,-10.38,5.69002,-96,
62,Aptos APT,4.65097,604625832,365699522,-12.03,-37.07,,10.2229,-54,
63,PancakeSwap CAKE,4.01708,591365513,49860214,-8.85,-18.01,-5.87,44.1414,-91,
64,eCash XEC,0.00003,576367561,13369350,-6.41,-21.92,-17.49,0.00039,-92,
65,PAX Gold PAXG,1743.75,567083856,37846563,0.11,4.89,6.58,192278.70,-99,
66,Synthetix SNX,1.81872,555920919,45683405,-10.28,-31.68,-11.73,28.8622,-94,
67,Klaytn KLAY,0.18303,551624170,69791599,-2.13,-22.62,21.07,2.96753,-94,
68,Fantom FTM,0.18922,481562341,99789236,-10.84,-30.03,-5.01,3.52667,-95,
69,Trust Wallet Token TWT,1.13230,471774425,19385327,-4.08,-6.56,19.37,1.37327,-17,
70,Neo NEO,6.66832,470375400,35827329,-7.29,-24.59,-12.85,196.853,-97,
71,The Graph GRT,0.06427,443455335,29992134,-10.26,-31.92,-24.92,2.65929,-98,
72,EthereumPoW ETHW,4.11647,440983876,46848179,-7.69,-38.4,-37.78,66.5061,-93,
73,Fei USD FEI,0.98213,417403060,905639,-1.33,-1.19,-2.04,1.03903,-5,
74,Mina MINA,0.55995,413119190,23574889,-12.0,-28.13,6.64,6.45649,-91,
75,BinaryX BNX,146.832,408943576,14917982,-0.93,-1.06,-4.97,227.596,-35,
76,GateToken GT,3.76477,407592800,3125672,-11.1,-21.3,-11.91,13.2873,-72,
77,Nexo NEXO,0.71702,401532553,14062042,-14.34,-28.5,-11.62,4.07458,-83,
78,Dash DASH,35.3642,388981407,71097822,-3.67,-20.23,-10.78,1642.22,-98,
79,Basic Attention Token BAT,0.25127,375821947,46967457,-7.57,-25.78,-9.71,1.91328,-87,
80,THORChain RUNE,1.13480,375264288,40187439,-7.44,-29.47,81.52,21.2898,-54,
81,Lido DAO Token LDO,1.18203,369916895,56232929,-1.74,-33.56,-2.84,6.95936,-83,
82,FTX Token FTT,2.71238,360815901,755648925,-30.46,-89.33,-87.86,84.9007,-97,
83,Helium HNT,2.76356,360348819,3750123,-10.54,-33.43,-38.71,54.7195,-95,
84,Casper CSPR,0.03407,357679843,14051276,-2.84,-14.82,1.4,0.24006,-86,
85,Curve DAO Token CRV,0.64841,344683832,80350392,-9.17,-36.78,-15.86,6.73730,-90,
86,Osmosis OSMO,1.21098,342058309,18829445,-6.62,-24.89,12.0,3.22099,-62,
87,Loopring LRC,0.25565,340050467,84095405,-8.16,-34.85,2.69,3.77569,-93,
