,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,15815.60,303877093471,37094864376,-2.6,-5.46,-18.53,68692.14,-77
1,Ethereum ETH,1102.38,134902115992,13987003074,-3.06,-12.15,-18.63,4864.11,-77
2,Tether USDT,0.99901,65442009174,51278932851,0.01,0.01,0.03,1.21549,-18
3,USD Coin USDC,1.00018,44052569515,4071743682,0.01,-0.03,0.18,1.90620,-47
4,BNB BNB,256.014,40955285975,1052358945,-2.18,-8.81,-6.81,2466.70,-90
5,Binance USD BUSD,1.00084,22828424662,8893202999,0.06,0.04,0.17,1.17612,-15
6,XRP XRP,0.35724,17968926629,2005140364,0.36,-4.83,-23.0,3.84194,-91
7,Cardano ADA,0.30551,10516200161,385528681,-1.78,-8.38,-14.83,3.09503,-90
8,Dogecoin DOGE,0.07484,9929132187,626630264,-1.88,-13.86,24.1,0.75287,-90
9,Polygon MATIC,0.80126,6998462693,562522518,0.57,-14.31,-10.16,2.91460,-72
10,Polkadot DOT,5.19762,5917401943,247523830,-1.31,-11.48,-11.95,55.0043,-91
11,Dai DAI,1.00037,5822675725,393443172,0.04,-0.07,0.16,1.36678,-27
12,TRON TRX,0.05213,4804449052,536444946,4.32,1.87,-15.56,0.30036,-83
13,SHIBA INU SHIB,0.00001,4662208887,200842330,-2.4,-7.11,-15.06,0.00009,-90
14,Litecoin LTC,61.4185,4401466875,821123879,-2.64,6.85,14.77,412.701,-85
15,Solana SOL,11.6981,4242363723,484999891,-3.16,-17.1,-59.62,259.705,-95
16,Uniswap UNI,5.16249,3934901548,143458903,-4.63,-15.66,-17.89,45.0125,-89
17,Wrapped Bitcoin WBTC,15757.57,3710236105,287133407,-2.46,-5.5,-18.91,68705.97,-77
18,UNUS SED LEO LEO,3.85041,3673116657,2416344,-12.53,0.02,-7.4,8.11487,-52
19,Avalanche AVAX,11.8402,3559555590,182841669,-1.73,-10.77,-27.27,145.665,-92
20,Chainlink LINK,5.91420,2907418417,332510618,2.6,-6.32,-15.05,53.0122,-89
21,Cosmos ATOM,9.10615,2607731932,133789896,-0.28,-12.21,-23.44,44.5529,-80
22,Ethereum Classic ETC,18.0413,2490032057,247652043,0.48,-11.87,-21.67,167.082,-89
23,Monero XMR,126.579,2304224885,122860985,-2.84,-2.9,-12.48,519.759,-76
24,Stellar XLM,0.08426,2165236933,77888692,-1.98,-7.78,-23.95,0.93814,-91
25,Toncoin TON,1.72012,2100951551,6359627,0.52,2.48,-26.42,15.3746,-92
26,Bitcoin Cash BCH,103.873,1998059911,304106122,-1.59,0.1,-5.45,4355.62,-98
27,Algorand ALGO,0.24073,1711741212,165055566,-5.42,-8.08,-23.21,2.64524,-91
28,Cronos CRO,0.06409,1619227970,32518496,-1.12,-8.0,-39.25,0.95855,-93
29,Filecoin FIL,4.16868,1350371964,116887563,0.05,-4.12,-17.89,236.965,-98
30,NEAR Protocol NEAR,1.54894,1284054108,201241967,0.34,-21.25,-47.75,20.3955,-92
31,VeChain VET,0.01773,1285426546,45265283,-0.88,-7.89,-21.37,0.27435,-94
32,Quant QNT,103.339,1247584365,52767846,-4.68,-12.38,-40.72,426.180,-76
33,OKB OKB,19.9256,1195537390,16611488,-0.46,5.83,27.18,44.1095,-55
34,Flow (Dapper Labs) FLOW,1.11351,1153824138,32116363,-2.79,-7.96,-25.86,43.8585,-97
35,Chiliz CHZ,0.18146,1113610364,653437601,-8.33,-8.65,-0.98,0.89121,-80
36,Hedera HBAR,0.04639,1065461345,22281474,0.54,-2.4,-22.6,0.56614,-92
37,Internet Computer ICP,3.61621,991557900,38112524,1.06,-8.61,-27.35,342.229,-99
38,ApeCoin APE,3.16845,972318735,183518084,5.48,7.58,-31.46,7.15066,-56
39,Elrond EGLD,40.4746,960038496,30747820,-3.06,-8.86,-28.65,541.042,-93
40,Paxos Standard USDP,1.00510,950468541,5430669,0.93,0.23,0.14,1.09061,-8
41,Chain XCN,0.04277,918365623,9811049,-4.02,-13.36,-26.88,0.09397,-55
42,EOS EOS,0.84941,912981490,154456264,-2.91,-7.35,-21.25,22.8904,-96
43,Terra Classic LUNC,0.00015,903718067,141585091,-3.87,-12.83,-37.24,104.473,-100
44,Tezos XTZ,0.93805,860258229,27090395,-3.47,-7.68,-30.99,12.1894,-92
45,TrueUSD TUSD,1.00052,855504136,38544914,0.07,-0.14,0.64,1.36449,-26
46,Theta THETA,0.82890,828898129,18881245,-1.92,-8.0,-18.37,16.5852,-95
47,Trust Wallet Token TWT,1.94526,810490337,113822715,-1.28,-12.73,73.56,2.73925,-29
48,The Sandbox SAND,0.53575,803345615,145148749,-0.89,-9.04,-28.78,8.59644,-94
49,Aave AAVE,55.5099,782312223,77102582,-2.32,-6.45,-37.27,666.029,-92
50,Huobi Token HT,4.92323,755014613,21072565,14.86,-1.45,-43.83,39.6615,-88
51,USDD USDD,0.99065,718550991,35985419,0.18,0.74,-0.43,1.00983,-2
52,Bitcoin SV BSV,37.1714,714846881,47708406,-2.17,-6.92,-21.42,495.937,-93
53,Decentraland MANA,0.37257,691153202,96119641,-2.47,-15.68,-39.53,5.85265,-94
54,KuCoin Token KCS,6.52956,642376897,2478344,-5.79,-15.18,-31.77,28.8059,-77
55,Maker MKR,638.875,624583931,26364694,-1.56,-8.62,-34.39,6302.63,-90
56,Neutrino USD USDN,0.90032,612458803,137759,-2.2,-3.38,-7.79,12.8042,-93
57,Gemini Dollar GUSD,1.00674,619128575,4626223,0.09,-0.44,-0.12,1.65168,-39
58,Axie Infinity AXS,6.37501,613240231,49902973,-1.21,-12.13,-26.25,164.876,-96
59,BitTorrent BTT,0.00000,606113574,20579322,-0.57,-5.8,-22.44,0.01428,-100
60,IOTA MIOTA,0.21296,591933546,32009344,1.34,-2.5,-13.57,5.69002,-96
61,Zcash ZEC,37.6521,593127460,56501647,-0.99,-7.82,-28.5,5941.80,-99
62,BitDAO BIT,0.27567,576409786,6734994,-4.08,-10.37,-35.25,3.08453,-91
63,PAX Gold PAXG,1736.24,564641503,20525342,-0.69,-0.61,5.18,192278.70,-99
64,eCash XEC,0.00003,539495979,10813331,-3.77,-3.39,-23.68,0.00039,-93
65,PancakeSwap CAKE,3.64418,531083070,29960816,-3.11,-8.86,-18.22,44.1414,-92
66,Aptos APT,4.03514,524568613,130767900,-0.39,-4.01,-58.07,10.2229,-61
67,Synthetix SNX,1.60772,492810437,26988772,-3.28,-9.59,-28.81,28.8622,-94
68,Klaytn KLAY,0.16142,487338159,28393437,-4.85,-7.18,-10.17,2.96753,-95
69,Neo NEO,6.46453,456000240,30976414,-0.41,-4.04,-23.55,196.853,-97
70,BinaryX BNX,158.124,440577990,11282084,2.15,7.28,9.58,227.596,-30
71,Fantom FTM,0.17060,434174179,50972037,0.18,-6.62,-17.98,3.52667,-95
72,Fei USD FEI,1.00784,428327262,7228186,1.43,1.61,0.93,1.04620,-4
73,Mina MINA,0.51742,387475282,13008867,-2.12,-3.9,-4.17,6.45649,-92
74,Dash DASH,34.8212,383498871,53682328,0.99,0.93,-15.9,1642.22,-98
75,Nexo NEXO,0.67072,375602644,9012175,-1.36,-5.79,-27.24,4.07458,-83
76,The Graph GRT,0.05392,372080415,20424425,-5.22,-16.09,-32.09,2.65929,-98
77,THORChain RUNE,1.11171,367629253,24555588,-2.5,-7.74,81.52,21.2898,-54
78,GateToken GT,3.37830,365751840,2105471,-3.06,-7.81,-23.45,13.2873,-75
79,EthereumPoW ETHW,3.16002,338944226,39667920,-1.78,-16.92,-49.02,66.5061,-95
80,Lido DAO Token LDO,1.11083,347636966,21481265,0.35,-2.63,-27.81,6.95936,-84
81,GMX GMX,41.2897,329933698,26521847,-1.25,-5.18,13.26,57.1237,-27
82,Basic Attention Token BAT,0.21944,328212649,30450784,0.39,-3.27,-21.79,1.91328,-89
83,1inch 1INCH,0.50651,311267839,20617543,0.52,-1.65,-11.69,8.38468,-94
84,Loopring LRC,0.22893,304511575,26969886,-1.07,-7.56,-9.23,3.77569,-94
85,Arweave AR,9.07726,303132396,37457210,-2.99,0.64,-12.3,97.3175,-91
86,XinFin XDC,0.02440,300222311,2802619,-2.49,-3.81,-19.61,0.19451,-87
87,Stacks STX,0.21767,292696198,9057776,-3.45,-0.33,-28.82,3.24787,-93
88,Casper CSPR,0.02770,291383653,9164807,1.17,-5.31,-40.27,0.24006,-88
89,Osmosis OSMO,1.02163,288574360,12833756,-1.87,-11.18,-14.73,3.22099,-68
90,Zilliqa ZIL,0.02108,285911563,36810119,1.01,0.13,-27.61,0.26024,-92
91,Helium HNT,2.18258,286103068,3952634,-5.04,-17.62,-47.8,54.7195,-96
92,NEM XEM,0.03169,285217585,81730140,2.92,0.35,-15.4,2.09188,-98
93,Enjin Coin ENJ,0.28429,284292627,25331566,-2.5,-9.19,-31.55,4.83883,-94
94,Immutable X IMX,0.41265,280372752,20112579,5.85,-4.89,-27.25,1.97054,-79
95,Kava KAVA,0.83549,274222215,109968515,1.92,-7.2,-43.48,9.17019,-91
96,Compound COMP,37.4476,272137483,15639542,0.43,-3.47,-26.2,913.488,-96
97,Decred DCR,18.6566,270956848,1263020,-1.42,-7.1,-30.24,250.901,-93
98,Curve DAO Token CRV,0.50954,270862127,57574866,-0.73,-17.12,-43.51,6.73730,-92
99,Holo HOT,0.00145,251576712,18050557,-3.47,-6.67,-23.86,0.03109,-95
