,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH,Investor Confidence
0,Bitcoin BTC,22882.27,441113599966,26881436562,-3.19,-1.04,37.62,68692.14,-67,Very Low Investor Confidence
1,Ethereum ETH,1574.48,192674822240,9113590396,-3.72,-3.94,31.37,4864.11,-68,Very Low Investor Confidence
2,Tether USDT,1.00008,67816583036,37092870605,-0.01,-0.01,-0.17,1.21549,-18,Very Low Investor Confidence
3,BNB BNB,310.453,49021108456,611214558,-1.55,-1.18,27.87,2466.70,-87,Very Low Investor Confidence
4,USD Coin USDC,1.00011,42720133447,3623759488,0.01,-0.01,-6.26,1.75438,-34,Very Low Investor Confidence
5,XRP XRP,0.39266,19948538102,1189004341,-4.39,-7.13,19.76,0.91023,-57,Very Low Investor Confidence
6,Binance USD BUSD,0.99983,15729478602,10205753813,-0.02,-0.07,-0.23,1.17612,-15,Very Low Investor Confidence
7,Cardano ADA,0.37335,12915700512,387216148,-4.49,-1.45,50.38,3.09503,-88,Very Low Investor Confidence
8,Dogecoin DOGE,0.09361,12419602539,1037854330,5.1,4.27,31.31,0.75287,-88,Not Very Low Investor Confidence
9,Polygon MATIC,1.09513,9565170213,587810456,-4.98,8.81,45.6,2.91460,-62,Very Low Investor Confidence
10,Solana SOL,24.2069,8996683754,1037716290,-4.93,-3.46,145.27,259.705,-91,Very Low Investor Confidence
11,Polkadot DOT,6.24003,7189399749,252665350,-4.66,-6.43,43.15,55.0043,-89,Very Low Investor Confidence
12,Litecoin LTC,94.4262,6815078150,842173056,-1.18,4.01,33.48,412.701,-77,Very Low Investor Confidence
13,SHIBA INU SHIB,0.00001,6521333151,326848342,-0.49,-1.71,45.03,0.00009,-87,Very Low Investor Confidence
14,Avalanche AVAX,19.6362,6181799347,662163371,-4.09,4.43,83.0,145.665,-87,Very Low Investor Confidence
15,Dai DAI,1.00014,5828360785,193023246,0.09,-0.02,-0.2,1.36678,-27,Very Low Investor Confidence
16,TRON TRX,0.06250,5738461797,326539979,-1.2,-1.43,14.13,0.30036,-79,Very Low Investor Confidence
17,Uniswap UNI,6.55393,4995464927,117129420,-4.48,-3.52,25.86,45.0125,-85,Very Low Investor Confidence
18,Wrapped Bitcoin WBTC,22829.69,4032810540,144263849,-3.26,-1.01,38.0,68705.97,-67,Very Low Investor Confidence
19,Cosmos ATOM,13.2391,3791298724,206372006,-3.25,-0.18,39.63,44.5529,-70,Very Low Investor Confidence
20,Chainlink LINK,6.99252,3552198075,305706287,-4.11,-2.28,25.22,53.0122,-87,Very Low Investor Confidence
21,UNUS SED LEO LEO,3.56469,3400548485,2399599,-1.66,3.58,2.87,8.11487,-56,Very Low Investor Confidence
22,Monero XMR,176.062,3210300810,83948098,-4.66,-2.1,18.56,519.759,-66,Very Low Investor Confidence
23,Ethereum Classic ETC,21.5331,2997402878,282544139,-6.01,-5.72,37.7,167.082,-87,Not Very Low Investor Confidence
24,Toncoin TON,2.31147,2823230518,41941593,-6.2,0.1,52.35,15.3746,-89,Not Very Low Investor Confidence
25,Aptos APT,16.9425,2715704891,1781435228,-5.63,30.09,392.34,19.9463,-15,Not Very Low Investor Confidence
26,Bitcoin Cash BCH,133.440,2575200447,200570538,-1.27,-1.86,38.14,4355.62,-97,Very Low Investor Confidence
27,Stellar XLM,0.09054,2378759555,68133605,-3.05,-4.07,26.47,0.93814,-90,Very Low Investor Confidence
28,OKB OKB,37.7463,2264779149,29948695,-3.89,3.35,30.95,44.1095,-14,Very Low Investor Confidence
29,ApeCoin APE,5.90136,2175205546,163691216,-3.98,2.76,53.73,7.15066,-17,Very Low Investor Confidence
30,NEAR Protocol NEAR,2.32218,1977442407,169872713,-6.92,-9.8,83.41,20.3955,-89,Not Very Low Investor Confidence
31,Cronos CRO,0.07759,1960231279,22961618,-5.08,-3.9,37.93,0.95855,-92,Not Very Low Investor Confidence
32,Filecoin FIL,5.13277,1924577755,177576347,-4.74,-5.62,67.22,236.965,-98,Very Low Investor Confidence
33,Lido DAO Token LDO,2.08330,1745075358,134725887,-7.95,-18.92,94.93,10.5664,-80,Not Very Low Investor Confidence
34,Algorand ALGO,0.24108,1735670407,83352750,-6.06,-5.43,37.48,2.64524,-91,Not Very Low Investor Confidence
35,Quant QNT,141.246,1705230646,37134374,-5.58,-2.26,32.63,426.180,-67,Not Very Low Investor Confidence
36,VeChain VET,0.02325,1685687690,70515793,-3.6,0.13,47.17,0.27435,-92,Very Low Investor Confidence
37,Hedera HBAR,0.06517,1650215019,40171493,-4.81,-5.2,73.47,0.56614,-88,Very Low Investor Confidence
38,Internet Computer ICP,5.71490,1626548554,45554816,-7.11,-4.09,43.26,342.229,-98,Not Very Low Investor Confidence
39,Decentraland MANA,0.73644,1366165937,335203629,-6.13,1.53,147.37,5.85265,-87,Not Very Low Investor Confidence
40,Fantom FTM,0.46929,1301339860,376410038,-0.54,14.74,137.66,3.52667,-87,Very Low Investor Confidence
41,Aave AAVE,81.4717,1148196523,87787696,-5.43,-7.4,58.12,666.029,-88,Not Very Low Investor Confidence
42,EOS EOS,1.05972,1145835404,148576997,-4.4,-4.11,21.28,22.8904,-95,Very Low Investor Confidence
43,Axie Infinity AXS,10.7485,1086056959,181750851,-8.9,-10.5,72.74,277.936,-96,Not Very Low Investor Confidence
44,The Sandbox SAND,0.72011,1079789811,239159524,-7.66,-9.62,87.94,8.59644,-92,Not Very Low Investor Confidence
45,MultiversX EGLD,42.4433,1058066994,27688752,-4.89,-4.36,30.0,541.042,-92,Very Low Investor Confidence
46,Theta THETA,1.02734,1027343666,33311499,-5.8,-4.29,41.53,16.5852,-94,Not Very Low Investor Confidence
47,Flow (Dapper Labs) FLOW,0.98966,1025490486,66505062,-8.38,-16.81,52.07,43.8585,-98,Not Very Low Investor Confidence
48,Tezos XTZ,1.07180,991756188,34243802,-6.35,-4.93,51.01,76.8901,-99,Not Very Low Investor Confidence
49,Terra Classic LUNC,0.00017,988426488,93811950,-4.67,-7.75,11.39,104.473,-100,Very Low Investor Confidence
50,BitDAO BIT,0.46731,977111388,43878294,-18.79,-18.07,31.33,3.08453,-85,Not Very Low Investor Confidence
51,TrueUSD TUSD,1.00037,946003214,49148467,0.05,-0.06,-0.14,1.36449,-27,Very Low Investor Confidence
52,Chiliz CHZ,0.13260,883316358,131833831,-6.24,-8.4,33.3,0.89121,-85,Not Very Low Investor Confidence
53,Paxos Standard USDP,1.00011,878177551,1919127,-0.08,0.12,-0.16,1.09061,-8,Very Low Investor Confidence
54,Bitcoin SV BSV,42.7628,823871308,48014348,-2.42,-4.7,3.71,495.937,-91,Very Low Investor Confidence
55,Huobi Token HT,5.05762,820517875,9550729,-1.44,-0.5,-0.76,39.6615,-87,Very Low Investor Confidence
56,KuCoin Token KCS,8.18790,805524669,1355476,-1.59,1.36,25.69,28.8059,-72,Very Low Investor Confidence
57,The Graph GRT,0.08862,777312336,44617660,-6.56,-2.17,58.45,2.65929,-97,Not Very Low Investor Confidence
58,Frax Share FXS,10.1530,744385493,24619052,-5.95,-3.17,125.5,42.5624,-76,Not Very Low Investor Confidence
59,Zcash ZEC,44.8007,728236218,74476997,-3.77,-5.29,4.71,296.139,-85,Very Low Investor Confidence
60,USDD USDD,0.99226,719720226,16715056,-0.11,0.76,0.75,1.00983,-2,Very Low Investor Confidence
61,Curve DAO Token CRV,1.00117,705009865,73656075,-7.37,-8.38,91.84,6.73730,-85,Not Very Low Investor Confidence
62,BitTorrent BTT,0.00000,682553810,15913084,-3.58,-3.46,-19.26,0.01428,-100,Very Low Investor Confidence
63,Mina MINA,0.82198,676776635,240697125,10.39,37.57,89.2,6.45649,-87,Not Very Low Investor Confidence
64,Trust Wallet Token TWT,1.62451,676852024,107068716,-4.35,6.08,14.12,2.73925,-41,Very Low Investor Confidence
65,eCash XEC,0.00003,669986944,18400786,-6.24,6.08,58.46,0.00039,-91,Not Very Low Investor Confidence
66,Dash DASH,60.2886,670452793,176652518,5.6,14.48,43.71,1642.22,-96,Not Very Low Investor Confidence
67,PancakeSwap CAKE,4.01392,664168272,46071122,-2.33,-0.28,27.64,44.1414,-91,Very Low Investor Confidence
68,IOTA MIOTA,0.22467,624480419,14693826,-5.37,-4.31,31.73,5.69002,-96,Not Very Low Investor Confidence
69,Maker MKR,638.530,624246852,26504360,-4.15,-10.12,25.6,6302.63,-90,Very Low Investor Confidence
70,Klaytn KLAY,0.19811,612028882,31811269,-3.2,-2.31,37.27,2.96753,-93,Very Low Investor Confidence
71,Gemini Dollar GUSD,0.99191,602140043,881997,-0.24,-1.37,1.12,1.65168,-39,Very Low Investor Confidence
72,THORChain RUNE,1.76373,576839415,66612850,-6.04,0.61,81.52,21.2898,-54,Not Very Low Investor Confidence
73,Synthetix SNX,2.28445,570466741,31506192,-6.33,-12.72,56.2,28.8622,-92,Not Very Low Investor Confidence
74,Neo NEO,8.02576,566127969,59586880,-3.24,-1.83,26.41,196.853,-96,Very Low Investor Confidence
75,Immutable X IMX,0.68586,544401224,48414358,2.99,-4.37,76.45,1.97054,-65,Very Low Investor Confidence
76,PAX Gold PAXG,1895.89,514285788,10681336,-0.54,-0.69,3.79,192278.70,-99,Very Low Investor Confidence
77,Optimism OP,2.15195,505166493,273112431,-5.87,-4.66,133.89,2.49994,-14,Not Very Low Investor Confidence
78,GMX GMX,57.6728,486082904,54362744,-4.28,3.98,40.94,63.8179,-10,Very Low Investor Confidence
79,Osmosis OSMO,0.96709,476381195,26408952,-7.83,-0.63,40.08,3.22099,-70,Not Very Low Investor Confidence
80,GateToken GT,4.34237,470126509,1174314,0.19,4.95,43.83,13.2873,-67,Very Low Investor Confidence
81,Nexo NEXO,0.82340,461102950,7283977,-2.59,0.08,23.4,4.07458,-80,Very Low Investor Confidence
82,Enjin Coin ENJ,0.43613,436126898,44030761,-5.25,0.53,83.0,4.83883,-91,Not Very Low Investor Confidence
83,Convex Finance CVX,5.90101,437313623,12401449,-3.68,9.55,84.54,60.5055,-90,Very Low Investor Confidence
84,Loopring LRC,0.32042,426204651,161178299,1.27,9.15,69.13,3.77569,-91,Very Low Investor Confidence
85,Zilliqa ZIL,0.02683,425678050,54638013,-7.19,-5.23,66.94,0.26024,-90,Not Very Low Investor Confidence
