Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Bitcoin BTC,16830.84,323815142472,19763153006,0.62,-5.31,6.55,68692.14,-75
Ethereum ETH,1209.47,148007320494,5869054770,1.38,-8.39,11.14,4864.11,-75
Tether USDT,1.00010,66249600577,23347288942,0.01,0.01,0.3,1.21549,-17
USD Coin USDC,0.99996,44422918763,2346568728,-0.02,-0.01,-4.26,1.75438,-31
BNB BNB,248.337,39725600356,587967613,0.23,-9.64,-2.62,2466.70,-90
Binance USD BUSD,1.00021,18076999516,4819431228,0.01,0.06,0.05,1.17612,-15
XRP XRP,0.34017,17125484465,877942080,-0.09,-13.03,-5.3,3.84194,-91
Dogecoin DOGE,0.07298,9682181576,387487287,-1.48,-20.24,-3.45,0.75287,-90
Cardano ADA,0.25303,8728642532,174726143,-1.02,-19.15,-16.87,3.09503,-92
Polygon MATIC,0.79366,6932119928,272642047,-0.12,-14.15,-1.21,2.91460,-73
Dai DAI,0.99942,5865816702,174536506,-0.05,-0.04,0.38,1.36678,-26
Polkadot DOT,4.52442,5199265183,119736456,-0.75,-14.36,-12.31,55.0043,-92
TRON TRX,0.05474,5037119566,166975613,0.97,-0.37,5.33,0.30036,-82
Litecoin LTC,65.3334,4695841629,479859372,0.75,-16.5,5.21,412.701,-84
SHIBA INU SHIB,0.00001,4568242002,104448156,-0.35,-9.8,-1.99,0.00009,-91
Solana SOL,12.0645,4425530430,167990132,-1.4,-13.69,4.29,259.705,-95
Uniswap UNI,5.24362,3996735089,47045092,0.17,-14.26,0.91,45.0125,-88
Avalanche AVAX,11.7802,3665409990,113631363,0.22,-14.58,-0.62,145.665,-92
UNUS SED LEO LEO,3.69765,3527386737,2710041,-1.25,-0.43,-3.66,8.11487,-54
Wrapped Bitcoin WBTC,16787.38,3122618158,137578357,0.65,-5.5,6.58,68705.97,-76
Chainlink LINK,5.95113,3023174658,184372487,-0.82,-13.67,-1.11,53.0122,-89
Toncoin TON,2.40834,2941547459,55971235,0.48,0.51,39.41,15.3746,-89
Monero XMR,147.306,2683373473,62039597,1.3,-2.75,16.11,519.759,-72
Cosmos ATOM,8.91895,2554122028,87296150,0.71,-9.45,-2.81,44.5529,-80
Ethereum Classic ETC,15.6734,2170265243,96483007,0.26,-18.87,-13.41,167.082,-91
Stellar XLM,0.07520,1960769084,45121066,0.76,-10.06,-10.72,0.93814,-92
Bitcoin Cash BCH,101.337,1951905766,112601947,1.51,-8.04,-2.75,4355.62,-98
Cronos CRO,0.05716,1443971734,16122703,2.08,-9.02,-10.02,0.95855,-94
OKB OKB,22.5134,1350804146,23096330,4.07,-2.26,13.23,44.1095,-49
Quant QNT,106.585,1286774263,18408378,1.4,-13.39,3.66,426.180,-75
ApeCoin APE,3.49420,1262279355,99876005,-0.77,-14.74,12.32,7.15066,-51
Algorand ALGO,0.17703,1263023569,41912274,-1.09,-21.03,-25.6,2.64524,-93
VeChain VET,0.01610,1167098737,22877794,-1.39,-15.59,-9.32,0.27435,-94
NEAR Protocol NEAR,1.31253,1107939862,62657191,0.41,-23.52,-14.82,20.3955,-94
Hedera HBAR,0.04280,1065998251,12371179,2.21,-10.21,-6.54,0.56614,-92
Internet Computer ICP,3.62826,1014258400,17449327,0.56,-13.66,0.64,342.229,-99
