Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Bitcoin BTC,21843.50,421280203452,32672601910,-4.99,-7.31,22.33,68692.14,-68
Ethereum ETH,1550.51,189741809355,10603714275,-6.17,-5.9,11.95,4864.11,-68
Tether USDT,1.00015,68194521656,48160514556,0.01,-0.01,0.71,1.21549,-18
BNB BNB,306.008,48318501610,787378189,-6.85,-6.17,7.97,2466.70,-88
USD Coin USDC,1.00010,41496407788,4478803250,0.01,0.02,0.39,1.02484,-3
XRP XRP,0.38333,19473041428,1501174513,-3.7,-6.68,2.67,3.84194,-90
Binance USD BUSD,1.00001,16161691532,13182013915,0.01,-0.01,0.74,1.17612,-15
Cardano ADA,0.36107,12501099663,493098135,-8.38,-9.93,12.53,3.09503,-88
Dogecoin DOGE,0.08159,10824768767,831435161,-9.7,-10.68,4.85,0.75287,-89
Polygon MATIC,1.23842,10816717260,1286462678,-4.89,3.98,38.52,2.91460,-58
Solana SOL,20.5605,7709685240,814108796,-11.33,-15.65,25.59,259.705,-92
Polkadot DOT,6.24151,7210206792,513970596,-7.95,-5.11,22.15,55.0043,-89
SHIBA INU SHIB,0.00001,6682749920,505973709,-11.52,-0.58,33.49,0.00009,-86
Litecoin LTC,92.2263,6662873846,846223058,-7.19,-7.4,11.05,185.230,-49
Dai DAI,0.99960,5790591641,235431312,-0.03,0.02,0.41,1.36678,-27
TRON TRX,0.06262,5742152426,653981840,-6.21,-2.37,11.31,0.30036,-79
Avalanche AVAX,17.8953,5639109344,388925984,-11.13,-15.71,13.34,145.665,-88
Uniswap UNI,6.31581,4813969912,239042595,-7.21,-12.25,7.19,45.0125,-86
Cosmos ATOM,13.5090,3868585608,302220887,-11.21,-6.99,14.44,44.5529,-70
Wrapped Bitcoin WBTC,21840.41,3854220582,226041216,-4.95,-7.14,22.38,68705.97,-68
Chainlink LINK,7.01144,3561808793,1114296884,-1.87,-1.85,11.57,53.0122,-87
UNUS SED LEO LEO,3.35859,3203940570,1869949,0.12,0.87,-4.14,8.11487,-59
Ethereum Classic ETC,20.8960,2908572447,314803720,-7.86,-7.3,2.44,167.082,-87
Monero XMR,152.887,2788389182,109942888,-8.16,-11.64,-9.09,519.759,-71
Toncoin TON,2.18818,2672649059,34700412,-4.68,-8.12,19.6,15.3746,-90
Bitcoin Cash BCH,126.348,2439468462,291244740,-3.97,-7.95,15.81,4355.62,-97
OKB OKB,39.4794,2368763576,69830387,-12.79,-0.63,42.59,45.9761,-14
