rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,27213.31,525804964314,32430397092,-0.64,31.98,10.61,68692.14,-60
1,Ethereum ETH,1783.25,218223370296,9006009725,-1.86,20.59,5.07,4864.11,-63
2,Tether USDT,1.00246,76408692806,42199060730,-0.01,-0.75,0.13,1.21549,-18
3,BNB BNB,334.051,52743674831,735166195,-3.09,19.74,6.13,690.568,-52
4,USD Coin USDC,0.99965,36232478835,4313634399,-0.03,1.77,0.01,6.01756,-51
5,XRP XRP,0.37847,19283468953,717510272,-1.88,3.37,-4.28,3.84194,-90
6,Cardano ADA,0.34281,11898355264,303758703,-3.13,11.46,-14.73,3.09503,-89
7,Polygon MATIC,1.19708,10455664857,458310647,-3.77,13.05,-22.45,2.91460,-59
8,Dogecoin DOGE,0.07486,9931763595,422619452,-3.91,12.38,-14.71,0.75287,-90
9,Solana SOL,21.8527,8380145507,585873961,-3.8,20.97,-6.46,259.705,-92
10,Binance USD BUSD,1.00021,8226671384,7066096918,-0.11,-0.47,-0.12,1.17612,-15
11,Polkadot DOT,6.46796,7550824340,246679535,-2.94,17.58,-11.48,440.042,-99
12,SHIBA INU SHIB,0.00001,6459480615,300045987,-3.01,6.49,-17.45,0.00009,-88
13,Litecoin LTC,83.8407,6078054315,497517122,-4.01,20.78,-16.86,412.701,-80
14,TRON TRX,0.06639,6054745941,246371445,-2.12,11.99,-5.25,0.30036,-78
15,Avalanche AVAX,17.3259,5641530620,208859546,-3.48,19.58,-11.66,145.665,-88
16,Dai DAI,0.99940,5612097388,171194478,-0.06,2.02,-0.16,1.36678,-27
17,Uniswap UNI,6.64256,5063023220,109889383,0.92,21.37,-4.01,45.0125,-85
18,Wrapped Bitcoin WBTC,27211.84,4088594006,261826628,-0.56,31.38,10.53,68705.97,-60
19,Chainlink LINK,7.08703,3664701126,274984559,-2.38,14.2,-6.83,53.0122,-87
20,Cosmos ATOM,12.3592,3539313324,228265716,-6.41,11.86,-12.41,334122.89,-100
21,UNUS SED LEO LEO,3.35126,3196948533,1379931,-5.5,-7.89,0.43,8.11487,-59
22,Ethereum Classic ETC,21.3107,2983149350,357282990,-4.01,23.65,-4.66,167.082,-87
23,Toncoin TON,2.42181,2958004582,25842835,-2.06,6.88,-8.95,15.3746,-87
24,OKB OKB,48.6314,2917886387,46919280,-3.44,21.79,-13.32,58.7128,-17
25,Monero XMR,152.786,2788985474,73933751,-1.13,7.51,-3.7,519.759,-71
26,Bitcoin Cash BCH,133.794,2587697631,184354216,-2.57,17.54,0.03,4355.62,-97
27,Filecoin FIL,6.08196,2473834780,361413627,-5.66,21.5,-20.22,236.965,-97
28,Aptos APT,13.2257,2344996823,465302083,-5.01,27.05,-10.25,19.9463,-34
29,Stellar XLM,0.08688,2301857255,61860547,-1.77,8.52,-3.61,0.93814,-91
30,Lido DAO Token LDO,2.54150,2174885097,160167886,-7.48,19.62,-15.03,11.5553,-78
31,TrueUSD TUSD,0.99979,2029375469,32524583,-0.08,-0.28,0.02,1.36449,-27
32,Hedera HBAR,0.06329,1902095016,39151734,-4.11,9.57,-25.85,0.56614,-89
33,NEAR Protocol NEAR,2.15005,1861990118,104102928,-2.39,19.38,-14.76,20.3955,-89
34,Cronos CRO,0.07144,1804688260,14499876,-3.18,10.16,-10.9,0.95855,-93
35,VeChain VET,0.02334,1692750886,74191987,-3.76,14.33,-15.71,9.55167,-100
36,Stacks STX,1.19561,1634362989,438593682,-3.81,100.51,245.03,3.24787,-63
37,Internet Computer ICP,5.45146,1615822983,41541199,-4.08,15.79,-27.0,342.229,-98
38,ApeCoin APE,4.35749,1606143584,131563172,-4.66,13.09,-21.9,26.8373,-84
39,Algorand ALGO,0.22097,1575268470,72358664,-3.16,17.03,-20.0,2.64524,-92
40,Quant QNT,129.260,1560522853,21212565,-3.1,9.19,-8.58,426.180,-70
41,The Graph GRT,0.15876,1403612803,176773970,-1.71,40.75,-5.41,2.65929,-94
42,Fantom FTM,0.49713,1383306802,413398383,-1.54,47.98,,0.53007,-6
43,Immutable X IMX,1.50835,1310124847,126674702,-0.33,85.02,34.48,2.81550,-47
44,Decentraland MANA,0.65243,1210317050,147524515,-2.04,25.72,-10.54,5.85265,-89
45,EOS EOS,1.11708,1207858942,168965522,-3.64,12.52,-9.69,22.8904,-95
46,BitDAO BIT,0.55423,1158871688,8225279,0.16,16.05,-7.27,3.08453,-82
47,Tezos XTZ,1.20714,1124073246,24696041,-3.8,22.25,3.46,9.05494,-87
48,Aave AAVE,79.1344,1115255685,69417525,-2.5,17.31,-10.09,666.029,-88
49,MultiversX EGLD,43.9174,1104523016,28672764,-3.2,13.59,-14.96,541.042,-92
50,Flow (Dapper Labs) FLOW,1.06349,1101987199,45203596,-3.44,23.35,-19.29,43.8585,-98
51,Axie Infinity AXS,9.51728,1100251090,182302036,2.43,30.17,-11.75,164.876,-94
52,Conflux Network CFX,0.39770,1056090075,995033385,-3.12,171.73,178.07,0.97212,-59
53,Theta THETA,1.05586,1055859125,20605291,-3.68,16.19,-15.16,16.5852,-94
54,The Sandbox SAND,0.69395,1040561667,239107372,-2.5,31.12,-10.02,8.59644,-92
55,KuCoin Token KCS,9.24505,909527165,1738556,-3.24,9.96,5.18,28.8059,-68
56,Pax Dollar USDP,0.99463,873372040,3901755,-0.77,0.03,-0.08,1.09061,-8
57,Neo NEO,12.1240,855210701,83744028,-5.37,27.25,23.58,196.853,-94
58,Optimism OP,2.70952,853075574,297404878,-4.81,42.76,-3.2,3.26732,-17
59,Rocket Pool RPL,42.7525,817145711,7613468,-3.26,23.39,-16.14,60.3210,-29
60,Chiliz CHZ,0.12127,814795501,80369329,-3.14,10.92,-14.71,0.89121,-86
61,Terra Classic LUNC,0.00014,810481822,140672770,2.6,12.87,-20.17,119.418,-100
62,Curve DAO Token CRV,1.01432,761901567,74221760,-1.44,17.37,-15.07,6.73730,-85
63,Mina MINA,0.87196,758419076,78816793,-6.7,40.39,-21.93,6.45649,-87
64,Synthetix SNX,2.93874,745330864,106619698,-2.65,33.37,11.88,28.8622,-90
65,Klaytn KLAY,0.24077,741179626,36364302,-3.11,9.37,-18.68,2.96753,-92
66,USDD USDD,0.99471,721495362,10089153,-0.35,1.02,-0.05,1.01558,-2
67,Bitcoin SV BSV,37.2007,716711828,38405892,-2.29,12.78,-12.98,495.937,-93
68,PancakeSwap CAKE,3.84409,713737542,51494480,-3.34,8.93,-8.24,44.1414,-91
69,GMX GMX,81.0387,693429561,71608902,-3.41,31.85,-3.58,86.1050,-6
70,Maker MKR,704.965,689195659,99832778,-4.72,-1.29,-3.38,6302.63,-89
71,Frax Share FXS,8.81598,656893343,34904062,-2.86,15.42,-20.94,43.2974,-80
72,Huobi Token HT,4.02176,652466101,12946254,-2.49,2.14,-23.12,39.6615,-90
73,BitTorrent BTT,0.00000,632489586,14222412,-1.96,8.46,-19.26,0.01428,-100
74,Dash DASH,56.7484,631082821,94250063,-5.53,21.27,-23.5,1642.22,-97
75,SingularityNET AGIX,0.52219,629406939,270561574,-9.42,66.31,20.32,1.85891,-72
76,IOTA MIOTA,0.22174,616345047,13294259,-4.3,14.49,-10.11,5.69002,-96
77,eCash XEC,0.00003,614918338,9962333,-4.14,17.94,-12.85,0.00039,-92
78,Gemini Dollar GUSD,1.00183,608160849,792827,-0.04,1.02,0.17,1.65168,-39
79,Zcash ZEC,36.4896,595811319,40614407,-3.49,16.59,-21.02,5941.80,-99
80,GateToken GT,5.45616,590711205,2180022,-0.41,18.07,17.28,13.2873,-59
81,RenderToken RNDR,1.48938,538328015,73150514,-3.93,50.01,-20.18,8.71818,-83
82,PAX Gold PAXG,1969.19,534168622,13442617,0.29,3.08,8.4,192278.70,-99
83,Trust Wallet Token TWT,1.23771,515691371,34538793,-2.02,2.9,-15.84,1.86784,-34
84,Mask Network MASK,6.41834,488756368,510420848,6.23,129.29,51.49,6.73248,-5
85,XinFin XDC,0.03525,487244571,2550140,-0.4,20.55,25.82,0.19451,-82
86,THORChain RUNE,1.44819,473639142,45832264,-2.39,18.35,81.52,21.2898,-54
87,Loopring LRC,0.35539,472717583,49079291,-3.8,30.18,-23.29,3.77569,-91
88,Zilliqa ZIL,0.02886,458014625,42185134,-2.89,27.67,-12.99,0.26024,-89
89,Kava KAVA,1.00809,450700752,25830904,-5.94,12.03,9.09,9.17019,-89
90,1inch 1INCH,0.52978,441943280,27527080,-1.94,20.81,-7.29,8.38468,-94
91,dYdX DYDX,2.78706,435495114,199775042,-3.93,47.45,-9.8,14.8252,-81
92,Enjin Coin ENJ,0.43092,430917131,44000979,-1.13,21.51,-13.27,4.83883,-91
93,Convex Finance CVX,5.60736,423911061,11770066,-3.3,11.47,-16.2,60.5055,-91
94,Osmosis OSMO,0.85747,422379440,8639887,-3.48,6.85,-15.47,3.22099,-73
95,Fei USD FEI,0.99216,421662449,236569,1.9,1.21,-1.72,1.08476,-8
96,Casper CSPR,0.03717,402715762,6246182,-2.23,6.96,-4.3,0.24006,-85
97,MAGIC MAGIC,1.85215,393139033,352392019,4.94,71.69,-10.07,2.28482,-19
98,ssv.network SSV,39.2154,392154234,39386165,-3.55,21.85,8.42,49.7628,-21
99,WOO Network WOO,0.23244,389280031,29355310,-2.01,39.26,-4.54,1.77363,-87
